"block","code","desc","level","card","required"
"1","1210","UTILIZAÇÃO DE CRÉDITOS FISCAIS - ICMS","3","1:N",""
"1","1250","Informações Consolidadas de Saldos de Restituição, Ressarcimento e Complementação do ICMS","2","1:1",""
"1","1255","Informações Consolidadas de Saldos de Restituição, ressarcimento e complementação do ICMS por motivo","3","1:N",""
"1","1300","Movimentação Diária","2","1:N",""
"1","1310","Movimentação Diária por Tanque","3","1:N","True"
"1","1320","Volume de Vendas","4","1:N",""
"1","1350","Bombas","2","1:N",""
"1","1360","Lacres","3","1:N","True"
"1","1370","Bicos","3","1:N","True"
"1","1390","Controle de Produção de Usina","2","1:N",""
"1","1391","Produção diária da Usina","3","1:N","True"
"1","1400","Valores Agregados","2","1:N",""
"1","1500","Saídas Interestaduais - Energia Elétrica","2","1:N",""
"1","1510","Itens","3","1:N",""
"1","1601","Operações com instrumentos de Pagamentos Eletrônicos","2","1:N",""
"1","1700","DOCUMENTOS FISCAIS UTILIZADOS","2","1:N",""
"1","1710","DOCUMENTOS FISCAIS CANCELADOS/INUTILIZADOS","3","1:N",""
"1","1800","DEMONSTRATIVO DE CRÉDITO DO ICMS SOBRE TRANSPORTE AÉREO","2","1:N",""
"1","1900","Indicador de Sub-apuração do ICMS","2","1:N",""
"1","1910","Período da Sub-apuração do ICMS","3","1:N","True"
"1","1920","SUB-APURAÇÃO DO ICMS","4","1:1","True"
"1","1921","Ajuste/Benefício/Incentivo","5","1:N",""
"1","1922","Informação Adicional da Sub-apuração do ICMS","6","1:N",""
"1","1923","Identificação dos Documentos Fiscais","6","1:N",""
"1","1925","Valores Declaratórios","5","1:N",""
"1","1926","Obrigações do ICMS a recolher","5","1:N",""
"1","1960","GIAF 1 - Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Indústria (Crédito Presumido)","2","1:N",""
"1","1970","Guia De Informação e Apuração de Incentivos Fiscais e Financeiros: Importação (Diferimento na Entrada e Crédito Presumido na Saída Subsequente)","2","1:N",""
"1","1975","Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Importação (Saídas Internas por Faixa de Alíquota)","3","1:N","True"
"1","1980","Guia de Informação e Apuração de Incentivos Fiscais e Financeiros: Central de Distribuição (Entradas/Saídas)","2","1:1",""
"1","1990","ENCERRAMENTO DO BLOCO 1","1","1:1","True"
"9","9001","ABERTURA DO BLOCO 9","1","1:1","True"
"9","9900","REGISTROS DO ARQUIVO","2","1:N","True"
"9","9990","ENCERRAMENTO DO BLOCO 9","1","1:1","True"
"9","9999","ENCERRAMENTO DO ARQUIVO DIGITAL","0","1:1","True"
