"block","code","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","level","card","spec_required","desc"
"C","C990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO C"
"D","D001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO D"
"D","D100","","","","","","","2","1:N","","Nota Fiscal de Serviço de Transporte e Conhecimentos de Transporte Rodoviário de Cargas, Aquaviário de Cargas, Aéreo , Ferroviário de Cargas, Multimodal de Cargas, Nota Fiscal De Transporte Ferroviário De Carga E Conhecimento De Transporte Eletrônico – CT-e, Conhecimento de Transporte Eletrônico para outros serviços - CT-e OS e Bilhete de Passagem Eletrônico BP-e"
"D","D101","","","","","","","3","1:1","","Informação complementar dos documentos fiscais quando das prestações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (Código 57, 63 e 67)"
"D","D110","","","","True","","","3","1:N","OC","Itens"
"D","D120","True","","","","","","4","1:N","O","COMPLEMENTO DA NOTA FISCAL DE SERVIÇOS DE TRANSPORTE"
"D","D130","","","","True","","","3","1:N","OC","Complemento do conhecimento rodoviário de cargas, avulso e de transporte eletrônico simplificado - código 57, tp_cte 5 e 6"
"D","D140","","","","True","","","3","1:1","OC","COMPLEMENTO DO CONHECIMENTO AQUAVIÁRIO DE CARGAS"
"D","D150","","","","True","","","3","1:1","OC","COMPLEMENTO DO CONHECIMENTO AÉREO"
"D","D160","","","","True","","","3","1:N","OC","Carga Transportada"
"D","D161","","","","True","","","4","1:1","OC","Local Coleta/Entrega"
"D","D162","","","","","","","4","1:N","","IDENTIFICAÇÃO DOS DOCUMENTOS FISCAIS"
"D","D170","","","","True","","","3","1:1","OC","COMPLEMENTO DO CONHECIMENTO MULTIMODAL DE CARGAS"
"D","D180","","","","","","","3","1:N","","Modais"
"D","D190","True","","","","","","3","1:N","O","Registro Analítico"
"D","D195","","","","","","","3","1:N","","Observações do Lançamento Fiscal (Código 07, 08, 8B, 09, 10, 11, 26, 27, 57, 63 e 67)"
"D","D197","","","","","","","4","1:N","","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal"
"D","D300","","","","True","","","2","1:N","OC","REG ANALÍTICO BILHETES CONSOL PASSAGEM RODOVIÁRIO, AQUAVIÁRIO, PASSAGEM E NOTA BAGAGEM E FERROVIÁRIO"
"D","D301","","","","","","","3","1:N","","Documentos Cancelado"
"D","D310","","","","True","","","3","1:N","OC","COMPLEMENTO DOS BILHETES"
"D","D350","","","","True","","","2","1:N","OC","ECF - Cupom Fiscal Bilhete de Passagem/Bilhete de Passagem Rodoviário/Bilhete de Passagem Aquaviário/Bilhete de Passagem e Nota de Bagagem/Bilhete de Passagem Ferroviário"
"D","D355","True","","","","","","3","1:N","O","Redução Z"
"D","D360","","","","True","","","4","1:1","OC","PIS E COFINS TOTALIZADOS NO DIA"
"D","D365","True","","","","","","4","1:N","O","TOTALIZADORES PARCIAIS DA REDUÇÃO Z"
"D","D370","","","","True","","","5","1:N","OC","COMPLEMENTO DOS DOCUMENTOS INFORMADOS"
"D","D390","True","","","","","","4","1:N","O","Registro Analítico"
"D","D400","","","","True","","","2","1:N","OC","Resumo de Movimento Diário"
"D","D410","True","","","","","","3","1:N","O","DOCUMENTOS FISCAIS INFORMADOS"
"D","D411","","","","","","","4","1:N","","Documentos Cancelados"
"D","D420","","","","True","","","3","1:N","OC","COMPLEMENTO DOS DOCUMENTOS INFORMADOS"
"D","D500","","","","True","","","2","1:N","OC","NF de Comunicação e de Telecomunicação"
"D","D510","","","","True","","","3","1:N","OC","Itens"
"D","D530","","","","True","","","3","1:N","OC","Terminal Faturado"
"D","D590","","","","True","","","3","1:N","OC","Registro Analítico"
"D","D600","","","","True","","","2","1:N","OC","NF de Comunicação e de Telecomunicação - Consolidadas"
"D","D610","True","","","","","","3","1:N","O","Itens"
"D","D690","True","","","","","","3","1:N","O","Registro Analítico"
"D","D695","","","","True","","","2","1:N","OC","NF Comunicação e Telecomunicação Consolidada - Convênio 115"
"D","D696","True","","","","","","3","1:N","O","Registro Analítico"
"D","D697","","","","","","","4","1:N","","Registro de Informações de outras UFs. relativamente aos serviços “não-medidos” de televisão por assinatura via Satélite"
"D","D700","","","","True","","","2","1:N","OC","Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):"
"D","D730","True","","","","","","3","1:N","O","Registro Analítico Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (código 62)."
"D","D731","","","","","","","4","1:1","","Registro de Informações de outras UFs. relativamente aos serviços “não-medidos” de televisão por assinatura via Satélite"
"D","D735","","","","","","","3","1:N","","Observações do Lançamento Fiscal (código 62)"
