"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","xsd_type","decimal","spec_type","spec_required","desc"
"B025","6","VL_ISNT_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor das operações isentas ou não-tributadas pelo ISS” referente à combinação da alíquota e item da lista"
"B025","7","COD_SERV","char","True","","","","","","004*","","","C","O","Item da lista de serviços, conforme Tabela 4.6.3"
"B030","2","COD_MOD","char","True","","","","","","002","","","C","O","Código do modelo do documento fiscal, conforme a Tabela 4.1.3"
"B030","3","SER","char","","","","","","","003","","","C","","Série do documento fiscal"
"B030","4","NUM_DOC_INI","char","True","","","","","","009","numeric_code","","N","O","Número do primeiro documento fiscal emitido no dia"
"B030","5","NUM_DOC_FIN","char","True","","","","","","009","numeric_code","","N","O","Número do último documento fiscal emitido no dia"
"B030","6","DT_DOC","date","True","","","","","","008*","","","D","O","Data da emissão dos documentos fiscais"
"B030","7","QTD_CANC","int","True","","","","","","","","","N","O","Quantidade de documentos cancelados"
"B030","8","VL_CONT","float","True","","","","","","","","2","N","O","Valor contábil (valor total acumulado dos documentos)"
"B030","9","VL_ISNT_ISS","float","True","","","","","","","","2","N","O","Valor acumulado das operações isentas ou não-tributadas pelo ISS"
"B030","10","VL_BC_ISS","float","True","","","","","","","","2","N","O","Valor acumulado da base de cálculo do ISS"
"B030","11","VL_ISS","float","True","","","","","","","","2","N","O","Valor acumulado do ISS destacado"
"B030","12","COD_INF_OBS","char","","","","","","","006","","","C","","Código da observação do lançamento fiscal (campo 02 do Registro 0460)"
"B035","2","VL_CONT_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor Contábil” referente à combinação da alíquota e item da lista"
"B035","3","VL_BC_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor da base de cálculo do ISS” referente à combinação da alíquota e item da lista"
"B035","4","ALIQ_ISS","float","True","","","","","","","","2","N","O","Alíquota do ISS"
"B035","5","VL_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor do ISS” referente à combinação da alíquota e item da lista"
"B035","6","VL_ISNT_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor das operações isentas ou não-tributadas pelo ISS” referente à combinação da alíquota e item da lista"
"B035","7","COD_SERV","char","True","","","","","","004*","","","C","O","Item da lista de serviços, conforme Tabela 4.6.3"
"B350","2","COD_CTD","char","True","","","","","","","","","C","O","Código da conta do plano de contas"
"B350","3","CTA_ISS","char","True","","","","","","","","","C","O","Descrição da conta no plano de contas"
"B350","4","CTA_COSIF","char","True","","","","","","008*","numeric_code","","N","O","Código COSIF a que está subordinada a conta do ISS das instituições financeiras"
"B350","5","QTD_OCOR","int","True","","","","","","","","","N","O","Quantidade de ocorrências na conta"
"B350","6","COD_SERV","char","True","","","","","","004*","numeric_code","","N","O","Item da lista de serviços, conforme Tabela 4.6.3."
"B350","7","VL_CONT","float","True","","","","","","","","2","N","O","Valor contábil"
"B350","8","VL_BC_ISS","float","True","","","","","","","","2","N","O","Valor da base de cálculo do ISS"
"B350","9","ALIQ_ISS","float","True","","","","","","","","2","N","O","Alíquota do ISS"
"B350","10","VL_ISS","float","True","","","","","","","","2","N","O","Valor do ISS"
"B350","11","COD_INF_OBS","char","","","","","","","006","","","C","","Código da observação do lançamento fiscal (campo 02 do Registro 0460)"
"B420","2","VL_CONT","float","True","","","","","","","","2","N","O","Totalização do Valor Contábil das prestações do declarante referente à combinação da alíquota e item da lista"
"B420","3","VL_BC_ISS","float","True","","","","","","","","2","N","O","Totalização do Valor da base de cálculo do ISS das prestações do declarante referente à combinação da alíquota e item da lista"
"B420","4","ALIQ_ISS","float","True","","","","","","","","2","N","O","Alíquota do ISS"
"B420","5","VL_ISNT_ISS","float","True","","","","","","","","2","N","O","Totalização do valor das operações isentas ou não-tributadas pelo ISS referente à combinação da alíquota e item da lista "
"B420","6","VL_ISS","float","True","","","","","","","","2","N","O","Totalização, por combinação da alíquota e item da lista, do Valor do ISS"
"B420","7","COD_SERV","char","True","","","","","","004*","","","C","O","Item da lista de serviços, conforme Tabela 4.6.3"
"B440","2","IND_OPER","char","True","","","","","","001","","","C","O","Indicador do tipo de operação"
"B440","3","COD_PART","char","True","","","","","","060","","","C","O","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
"B440","4","VL_CONT_RT","float","True","","","","","","","","2","N","O","Totalização do Valor Contábil das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante."
"B440","5","VL_BC_ISS_RT","float","True","","","","","","","","2","N","O","Totalização do Valor da base de cálculo de retenção do ISS das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante."
"B440","6","VL_ISS_RT","float","True","","","","","","","","2","N","O","Totalização do Valor do ISS retido pelo tomador das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante."
"B460","2","IND_DED","char","True","","","","","","001*","numeric_code","","N","O","Indicador do tipo de dedução"
"B460","3","VL_DED","float","True","","","","","","","","2","N","O","Valor da dedução"
"B460","4","NUM_PROC","char","","","","","","","","","","C","","Número do processo ao qual o ajuste está vinculado, se houver"
"B460","5","IND_PROC","char","","","","","","","001*","","","C","","Indicador da origem do processo"
"B460","6","PROC","char","","","","","","","","","","C","","Descrição do processo que embasou o lançamento"
"B460","7","COD_INF_OBS","char","True","","","","","","006","","","C","O","Código da observação do lançamento fiscal (campo 02 do Registro 0460)"
"B460","8","IND_OBR","char","True","","","","","","001*","","","C","O","Indicador da obrigação onde será aplicada a dedução"
"B470","2","VL_CONT","float","True","","","","","","","","2","N","O","Valor das prestações de serviço"
"B470","3","VL_MAT_TERC","float","True","","","","","","","","2","N","O","Valor do material de terceiros"
"B470","4","VL_MAT_PROP","float","True","","","","","","","","2","N","O","Valor do material próprio utilizado na prestação do serviço"
"B470","5","VL_SUB","float","True","","","","","","","","2","N","O","Valor total das subempreitadas"
"B470","6","VL_ISNT","float","True","","","","","","","","2","N","O","Prestações isentas ou não-tributadas"
"B470","7","VL_DED_BC","float","True","","","","","","","","2","N","O","Valor total das deduções da base de cálculo (VL_MAT_TERC + VL_MAT_PROP + VL_SUB + VL_ISNT)"
"B470","8","VL_BC_ISS","float","True","","","","","","","","2","N","O","Valor total da base de cálculo do ISS"
"B470","9","VL_BC_ISS_RT","float","True","","","","","","","","2","N","O","Valor total da base de cálculo de retenção do ISS referente às prestações do declarante"
"B470","10","VL_ISS","float","True","","","","","","","","2","N","O","Valor total do ISS destacado"
"B470","11","VL_ISS_RT","float","True","","","","","","","","2","N","O","Valor total do ISS retido pelo tomador nas prestações do declarante"
"B470","12","VL_DED","float","True","","","","","","","","2","N","O","Valor total das deduções do ISS próprio"
"B470","13","VL_ISS_REC","float","True","","","","","","","","2","N","O","Valor total apurado do ISS próprio a recolher (VL_ISS - VL_ISS_RT - VL_DED)"
"B470","14","VL_ISS_ST","float","True","","","","","","","","2","N","O","Valor total do ISS substituto a recolher pelas aquisições do declarante (tomador)"
"B470","15","VL_ISS_REC_UNI","float","True","","","","","","","","2","N","O","Valor do ISS Uniprofissional a recolher"
"B500","2","VL_REC","float","True","","","","","","","","2","N","O","Valor mensal das receitas auferidas pela sociedade uniprofissional"
"B500","3","QTD_PROF","int","True","","","","","","","","","N","O","Quantidade de profissionais habilitados"
"B500","4","VL_OR","float","True","","","","","","","","2","N","O","Valor do ISS devido"
"B510","2","IND_PROF","char","True","","","","","","001*","","","C","O","Indicador de habilitação"
"B510","3","IND_ESC","char","True","","","","","","001*","","","C","O","Indicador de escolaridade"
"B510","4","IND_SOC","char","True","","","","","","001*","","","C","O","Indicador de participação societária"
"B510","5","CPF","char","True","","","","","","011*","numeric_code","","N","O","Número de inscrição do profissional no CPF"
"B510","6","NOME","char","True","","","","","","100","","","C","O","Nome do profissional"
"B990","2","QTD_LIN_B","int","True","","","","","","","","","N","O","Quantidade total de linhas do Bloco B"
"C001","2","IND_MOV","char","True","","","","","","001","","","C","O","Indicador de movimento"
"C100","2","IND_OPER","char","True","","","","","","001","","","C","O","Indicador do tipo de operação"
"C100","3","IND_EMIT","char","True","","","","","","001","","","C","O","Indicador do emitente do documento fiscal"
"C100","4","COD_PART","char","True","","","","","","060","","","C","O","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
"C100","5","COD_MOD","char","True","","","","","","002*","","","C","O","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos"
"C100","6","COD_SIT","char","True","","","","","","002*","numeric_code","","N","O","Código da situação do documento fiscal, conforme a Tabela Situação do Documento"
"C100","7","SER","char","","","","","","","003","","","C","","Série do documento fiscal"
"C100","8","NUM_DOC","char","True","","","","","","009","numeric_code","","N","O","Número do documento fiscal"
"C100","9","CHV_NFE","char","","","","","","","044*","","","C","","Chave da Nota Fiscal Eletrônica"
"C100","10","DT_DOC","date","True","","","","","","008*","","","D","O","Data da emissão do documento fiscal (DDMMAAAA)"
"C100","11","DT_E_S","date","","","","","","","008*","","","D","","Data da entrada ou da saída"
"C100","12","VL_DOC","float","True","","","","","","","","2","N","O","Valor total do documento fiscal"
"C100","13","IND_PGTO","char","True","","","","","","001","","","C","O","Indicador do tipo de pagamento"
"C100","14","VL_DESC","float","","","","","","","","","2","N","","Valor total do desconto"
"C100","15","VL_ABAT_NT","float","","","","","","","","","2","N","","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM"
"C100","16","VL_MERC","float","","","","","","","","","2","N","","Valor das mercadorias constantes no documento fiscal"
"C100","17","IND_FRT","char","True","","","","","","001","","","C","O","Indicador do tipo do frete"
"C100","18","VL_FRT","float","","","","","","","","","2","N","","Valor do frete indicado no documento fiscal"
"C100","19","VL_SEG","float","","","","","","","","","2","N","","Valor do seguro indicado no documento fiscal"
"C100","20","VL_OUT_DA","float","","","","","","","","","2","N","","Valor de outras despesas acessórias"
"C100","21","VL_BC_ICMS","float","","","","","","","","","2","N","","Valor da base de cálculo do ICMS"
"C100","22","VL_ICMS","float","","","","","","","","","2","N","","Valor do ICMS"
"C100","23","VL_BC_ICMS_ST","float","","","","","","","","","2","N","","Valor da base de cálculo do ICMS substituição tributária"
"C100","24","VL_ICMS_ST","float","","","","","","","","","2","N","","Valor do ICMS retido por substituição tributária"
"C100","25","VL_IPI","float","","","","","","","","","2","N","","Valor total do IPI"
"C100","26","VL_PIS","float","","","","","","","","","2","N","","Valor total do PIS"
"C100","27","VL_COFINS","float","","","","","","","","","2","N","","Valor total da COFINS"
"C100","28","VL_PIS_ST","float","","","","","","","","","2","N","","Valor total do PIS retido por substituição tributária"
"C100","29","VL_COFINS_ST","float","","","","","","","","","2","N","","Valor total da COFINS retido por substituição tributária"
"C101","2","VL_FCP_UF_DEST","float","True","","","","","","","","2","N","O","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino se for operação de entrada ou da UF de origem de se for operação de saída"
"C101","3","VL_ICMS_UF_DEST","float","True","","","","","","","","2","N","O","Valor total do ICMS interestadual para a UF de destino"
"C101","4","VL_ICMS_UF_REM","float","True","","","","","","","","2","N","O","Valor total do ICMS interestadual para a UF do remetente"
"C105","2","OPER","char","True","","","","","","001*","numeric_code","","N","O","Indicador do tipo de operação: 0-Combustíveis e Lubrificantes; 1-Leasing de veículos ou faturamento direto; 2-Recusa de recebimento (de acordo com as condições descritas nas instruções do Registro)"
"C105","3","COD_UF","char","True","","","","","","002*","","","C","O","Sigla da UF de destino do ICMS_ST"
"C110","2","COD_INF","char","True","","","","","","006","","","C","O","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)"
"C110","3","TXT_COMPL","char","","","","","","","","","","C","","Descrição complementar do código de referência"
"C111","2","NUM_PROC","char","True","","","","","","060","","","C","O","Identificação do processo ou ato concessório"
"C111","3","IND_PROC","char","True","","","","","","001","","","C","O","Indicador da origem do processo"
"C112","2","COD_DA","char","True","","","","","","001","","","C","O","Código do modelo do documento de arrecadação"
"C112","3","UF","char","True","","","","","","002*","","","C","O","Unidade federada beneficiária do recolhimento"
"C112","4","NUM_DA","char","","","","","","","","","","C","","Número do documento de arrecadação"
"C112","5","COD_AUT","char","","","","","","","","","","C","","Código completo da autenticação bancária"
"C112","6","VL_DA","float","True","","","","","","","","2","N","O","Valor do total do documento de arrecadação (principal, atualização monetária, juros e multa)"
"C112","7","DT_VCTO","date","True","","","","","","008*","","","D","O","Data de vencimento do documento de arrecadação"
"C112","8","DT_PGTO","date","True","","","","","","008*","","","D","O","Data de pagamento do documento de arrecadação, ou data do vencimento, no caso de ICMS antecipado a recolher"
"C113","2","IND_OPER","char","True","","","","","","001*","","","C","O","Indicador do tipo de operação"
"C113","3","IND_EMIT","char","True","","","","","","001*","","","C","O","Indicador do emitente do Documento Fiscal"
"C113","4","COD_PART","char","","","","","","","060","","","C","","Código do participante emitente (campo 02 do Registro 0150) do documento referenciado"
"C113","5","COD_MOD","char","True","","","","","","002*","","","C","O","Código do documento fiscal, conforme a tabela de Codificação dos Documentos"
