"register","field","values"
"D170","IND_NAT_FRT","0=Negociável;1=Não negociável"
"D180","IND_EMIT","0=Emissão própria;1=Terceiros"
"D300","COD_MOD","13=Bilhete de Passagem Rodoviário;14=Bilhete de Passagem Aquaviário;15=Bilhete de Passagem e Nota de Bagagem;16=Bilhete de Passagem Ferroviário"
"D350","COD_MOD","2E=Bilhete de Passagem emitido por ECF;13=Bilhete de Passagem Rodoviário;14=Bilhete de Passagem Aquaviário;15=Bilhete de Passagem e Nota de Bagagem;16=Bilhete de Passagem Ferroviário"
"D410","COD_MOD","13=Bilhete de Passagem Rodoviário;14=Bilhete de Passagem Aquaviário;15=Bilhete de Passagem e Nota de Bagagem;16=Bilhete de Passagem Ferroviário"
"D500","IND_OPER","0=Entrada;1=Saída"
"D500","IND_EMIT","0=Emissão própria;1=Terceiros"
"D500","COD_MOD","21=Nota Fiscal de Serviço de Comunicação;22=Nota Fiscal de Serviço de Telecomunicação"
"D500","TP_ASSINANTE","1=Comercial/Industrial;2=Poder Público;3=Residencial/Pessoa física;4=Público;5=Semi-Público;6=Outros"
"D510","IND_REC","0=Receita própria - serviços prestados;1=Receita própria - cobrança de débitos;2=Receita própria - venda de mercadorias;3=Receita própria - venda de serviço pré-pago;4=Outras receitas próprias;5=Receitas de terceiros (co-faturamento);9=Outras receitas de terceiros"
"D530","IND_SERV","0=Telefonia;1=Comunicação de dados;2=TV por assinatura;3=Provimento de acesso à Internet;4=Multimídia;9=Outros"
"D600","COD_MOD","21=Nota Fiscal de Serviço de Comunicação;22=Nota Fiscal de Serviço de Telecomunicação"
"D695","COD_MOD","21=Nota Fiscal de Serviço de Comunicação;22=Nota Fiscal de Serviço de Telecomunicação"
"D700","IND_OPER","0=Aquisição;1=Prestação"
"D700","IND_EMIT","0=Emissão própria;1=Terceiros"
"D700","FIN_DOCE","0=NFCom Normal;3=NFCom de Substituição;4=NFCom de ajuste"
"D700","TIP_FAT","0=Faturamento Normal;1=Faturamento Centralizado;2=Cofaturamento"
"D700","COD_MOD_DOC_REF","62=NFCom;21=Nota Fiscal de Serviço de Comunicação;22=Nota Fiscal de Serviço de Telecomunicação"
"D750","IND_PREPAGO","0=Pré-pago;1=Pós-pago"
"E001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"E112","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E116","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E210","IND_MOV_ST","0=Sem operações com ST;1=Com operações de ST"
"E230","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E250","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E310","IND_MOV_DIFAL","0=Sem operações com ICMS diferencial de alíquota da UF de origem/destino;1=Com operações de ICMS diferencial de alíquota da UF de origem/destino"
"E312","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E316","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"E500","IND_APUR","0=Mensal;1=Decendial"
"E530","IND_AJ","0=Ajuste a débito;1=Ajuste a crédito"
"E530","IND_DOC","0=Processo Judicial;1=Processo Administrativo;2=PER/DCOMP;3=Documento Fiscal;9=Outros"
"E531","COD_MOD","01=Nota Fiscal;55=Nota Fiscal Eletrônica"
"G001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"G125","TIPO_MOV","SI=Saldo inicial de bens imobilizados;IM=Imobilização de bem individual;IA=Imobilização em Andamento - Componente;CI=Conclusão de Imobilização em Andamento – Bem Resultante;MC=Imobilização oriunda do Ativo Circulante;BA=Baixa do bem - Fim do período de apropriação;AT=Alienação ou Transferência;PE=Perecimento, Extravio ou Deterioração;OT=Outras Saídas do Imobilizado"
"G130","IND_EMIT","0=Emissão própria;1=Terceiros"
"G130","COD_MOD","01=Nota Fiscal;1B=Nota Fiscal Avulsa;04=Nota Fiscal de Produtor;07=Nota Fiscal de Serviço de Transporte;08=Conhecimento de Transporte Rodoviário de Cargas;8B=Conhecimento de Transporte de Cargas Avulso;09=Conhecimento de Transporte Aquaviário de Cargas;10=Conhecimento Aéreo;26=Conhecimento de Transporte Multimodal de Cargas;27=Nota Fiscal de Transporte Ferroviário de Cargas;55=Nota Fiscal Eletrônica;57=Conhecimento de Transporte Eletrônico - CT-e"
"H001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"H005","MOT_INV","01=No final no período;02=Na mudança de forma de tributação da mercadoria(ICMS);03=Na solicitação da baixa cadastral, paralisação temporária;04=Na alteração de regime de pagamento – condição do contribuinte;05=Por determinação dos fiscos;06=Para controle das mercadorias sujeitas ao regime de substituição tributária – restituição/ressarcimento/complementação"
"H010","IND_PROP","0=Item de propriedade do informante e em seu poder;1=Item de propriedade do informante em posse de terceiros;2=Item de propriedade de terceiros em posse do informante"
"K001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"K010","IND_TP_LEIAUTE","0=Leiaute Simplificado;1=Leiaute Completo;2=Leiaute restrito aos saldos de estoque"
"K200","IND_EST","0=Estoque de propriedade do informante e em seu poder;1=Estoque de propriedade do informante e em posse de terceiros;2=Estoque de propriedade de terceiros e em posse do informante"
