"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"B035","pva","4","ALIQ_ISS","Alíquota do ISS","N","","2","O","",""
"B035","pva","5","VL_ISS_P","Parcela correspondente ao “Valor do ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B035","pva","6","VL_ISNT_ISS_P","Parcela correspondente ao “Valor das operações isentas ou não-tributadas pelo ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B035","pva","7","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3","C","004*","","O","",""
"B350","pva","1","REG","Texto fixo contendo “B350”","C","004*","","OC","",""
"B350","pva","2","COD_CTD","Código da conta do plano de contas","C","","","O","",""
"B350","pva","3","CTA_ISS","Descrição da conta no plano de contas","C","","","O","",""
"B350","pva","4","CTA_COSIF","Código COSIF a que está subordinada a conta do ISS das instituições financeiras","N","008*","","O","",""
"B350","pva","5","QTD_OCOR","Quantidade de ocorrências na conta","N","","","O","",""
"B350","pva","6","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3.","N","004*","","O","",""
"B350","pva","7","VL_CONT","Valor contábil","N","","2","O","",""
"B350","pva","8","VL_BC_ISS","Valor da base de cálculo do ISS","N","","2","O","",""
"B350","pva","9","ALIQ_ISS","Alíquota do ISS","N","","2","O","",""
"B350","pva","10","VL_ISS","Valor do ISS","N","","2","O","",""
"B350","pva","11","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"B420","pva","1","REG","Texto fixo contendo “B420”","C","004*","","OC","",""
"B420","pva","2","VL_CONT","Totalização do Valor Contábil das prestações do declarante referente à combinação da alíquota e item da lista","N","","2","O","",""
"B420","pva","3","VL_BC_ISS","Totalização do Valor da base de cálculo do ISS das prestações do declarante referente à combinação da alíquota e item da lista","N","","2","O","",""
"B420","pva","4","ALIQ_ISS","Alíquota do ISS","N","","2","O","",""
"B420","pva","5","VL_ISNT_ISS","Totalização do valor das operações isentas ou não-tributadas pelo ISS referente à combinação da alíquota e item da lista ","N","","2","O","",""
"B420","pva","6","VL_ISS","Totalização, por combinação da alíquota e item da lista, do Valor do ISS","N","","2","O","",""
"B420","pva","7","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3","C","004*","","O","",""
"B440","pva","1","REG","Texto fixo contendo “B440”","C","004*","","","",""
"B440","pva","2","IND_OPER","Indicador do tipo de operação","C","001","","O","",""
"B440","pva","3","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","","O","",""
"B440","pva","4","VL_CONT_RT","Totalização do Valor Contábil das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","2","O","",""
"B440","pva","5","VL_BC_ISS_RT","Totalização do Valor da base de cálculo de retenção do ISS das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","2","O","",""
"B440","pva","6","VL_ISS_RT","Totalização do Valor do ISS retido pelo tomador das prestações e/ou aquisições do declarante pela combinação de tipo de operação e participante.","N","","2","O","",""
"B460","pva","1","REG","Texto fixo contendo “B460”","C","004*","","OC","",""
"B460","pva","2","IND_DED","Indicador do tipo de dedução","N","001*","","O","",""
"B460","pva","3","VL_DED","Valor da dedução","N","","2","O","",""
"B460","pva","4","NUM_PROC","Número do processo ao qual o ajuste está vinculado, se houver","C","","","","",""
"B460","pva","5","IND_PROC","Indicador da origem do processo","C","001*","","","",""
"B460","pva","6","PROC","Descrição do processo que embasou o lançamento","C","","","","",""
"B460","pva","7","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","O","",""
"B460","pva","8","IND_OBR","Indicador da obrigação onde será aplicada a dedução","C","001*","","O","",""
"B470","pva","1","REG","Texto fixo contendo “B470”","C","004*","","OC","",""
"B470","pva","2","VL_CONT","Valor das prestações de serviço","N","","2","O","",""
"B470","pva","3","VL_MAT_TERC","Valor do material de terceiros","N","","2","O","",""
"B470","pva","4","VL_MAT_PROP","Valor do material próprio utilizado na prestação do serviço","N","","2","O","",""
"B470","pva","5","VL_SUB","Valor total das subempreitadas","N","","2","O","",""
"B470","pva","6","VL_ISNT","Prestações isentas ou não-tributadas","N","","2","O","",""
"B470","pva","7","VL_DED_BC","Valor total das deduções da base de cálculo (VL_MAT_TERC + VL_MAT_PROP + VL_SUB + VL_ISNT)","N","","2","O","",""
"B470","pva","8","VL_BC_ISS","Valor total da base de cálculo do ISS","N","","2","O","",""
"B470","pva","9","VL_BC_ISS_RT","Valor total da base de cálculo de retenção do ISS referente às prestações do declarante","N","","2","O","",""
"B470","pva","10","VL_ISS","Valor total do ISS destacado","N","","2","O","",""
"B470","pva","11","VL_ISS_RT","Valor total do ISS retido pelo tomador nas prestações do declarante","N","","2","O","",""
"B470","pva","12","VL_DED","Valor total das deduções do ISS próprio","N","","2","O","",""
"B470","pva","13","VL_ISS_REC","Valor total apurado do ISS próprio a recolher (VL_ISS - VL_ISS_RT - VL_DED)","N","","2","O","",""
"B470","pva","14","VL_ISS_ST","Valor total do ISS substituto a recolher pelas aquisições do declarante (tomador)","N","","2","O","",""
"B470","pva","15","VL_ISS_REC_UNI","Valor do ISS Uniprofissional a recolher","N","","2","O","",""
"B500","pva","1","REG","Texto fixo contendo “B500”","C","004*","","OC","",""
"B500","pva","2","VL_REC","Valor mensal das receitas auferidas pela sociedade uniprofissional","N","","2","O","",""
"B500","pva","3","QTD_PROF","Quantidade de profissionais habilitados","N","","","O","",""
"B500","pva","4","VL_OR","Valor do ISS devido","N","","2","O","",""
"B510","pva","1","REG","Texto fixo contendo “B510”","C","004*","","","",""
"B510","pva","2","IND_PROF","Indicador de habilitação","C","001*","","O","",""
"B510","pva","3","IND_ESC","Indicador de escolaridade","C","001*","","O","",""
"B510","pva","4","IND_SOC","Indicador de participação societária","C","001*","","O","",""
"B510","pva","5","CPF","Número de inscrição do profissional no CPF","N","011*","","O","",""
"B510","pva","6","NOME","Nome do profissional","C","100","","O","",""
"B990","pva","1","REG","Texto fixo contendo “B990”","C","004*","","O","",""
"B990","pva","2","QTD_LIN_B","Quantidade total de linhas do Bloco B","N","","","O","",""
"C001","pva","1","REG","Texto fixo contendo “C001”","C","004*","","O","",""
"C001","pva","2","IND_MOV","Indicador de movimento","C","001","","O","",""
"C100","pva","1","REG","Texto fixo contendo “C100”","C","004*","","","",""
"C100","pva","2","IND_OPER","Indicador do tipo de operação","C","001","","O","",""
"C100","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001","","O","",""
"C100","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","","O","",""
"C100","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos","C","002*","","O","",""
"C100","pva","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","O","",""
"C100","pva","7","SER","Série do documento fiscal","C","003","","","",""
"C100","pva","8","NUM_DOC","Número do documento fiscal","N","009","","O","",""
"C100","pva","9","CHV_NFE","Chave da Nota Fiscal Eletrônica","C","044*","","","",""
"C100","pva","10","DT_DOC","Data da emissão do documento fiscal (DDMMAAAA)","D","008*","","O","",""
"C100","pva","11","DT_E_S","Data da entrada ou da saída","D","008*","","","",""
"C100","pva","12","VL_DOC","Valor total do documento fiscal","N","","2","O","",""
"C100","pva","13","IND_PGTO","Indicador do tipo de pagamento","C","001","","O","",""
"C100","pva","14","VL_DESC","Valor total do desconto","N","","2","","",""
"C100","pva","15","VL_ABAT_NT","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM","N","","2","","",""
"C100","pva","16","VL_MERC","Valor das mercadorias constantes no documento fiscal","N","","2","","",""
"C100","pva","17","IND_FRT","Indicador do tipo do frete","C","001","","O","",""
"C100","pva","18","VL_FRT","Valor do frete indicado no documento fiscal","N","","2","","",""
"C100","pva","19","VL_SEG","Valor do seguro indicado no documento fiscal","N","","2","","",""
"C100","pva","20","VL_OUT_DA","Valor de outras despesas acessórias","N","","2","","",""
"C100","pva","21","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2","","",""
"C100","pva","22","VL_ICMS","Valor do ICMS","N","","2","","",""
"C100","pva","23","VL_BC_ICMS_ST","Valor da base de cálculo do ICMS substituição tributária","N","","2","","",""
"C100","pva","24","VL_ICMS_ST","Valor do ICMS retido por substituição tributária","N","","2","","",""
"C100","pva","25","VL_IPI","Valor total do IPI","N","","2","","",""
"C100","pva","26","VL_PIS","Valor total do PIS","N","","2","","",""
"C100","pva","27","VL_COFINS","Valor total da COFINS","N","","2","","",""
"C100","pva","28","VL_PIS_ST","Valor total do PIS retido por substituição tributária","N","","2","","",""
"C100","pva","29","VL_COFINS_ST","Valor total da COFINS retido por substituição tributária","N","","2","","",""
"C101","pva","1","REG","Texto fixo contendo “C101”","C","004*","","","",""
"C101","pva","2","VL_FCP_UF_DEST","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino se for operação de entrada ou da UF de origem de se for operação de saída","N","","2","O","",""
"C101","pva","3","VL_ICMS_UF_DEST","Valor total do ICMS interestadual para a UF de destino","N","","2","O","",""
"C101","pva","4","VL_ICMS_UF_REM","Valor total do ICMS interestadual para a UF do remetente","N","","2","O","",""
