"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"D100","pva","21","VL_NT","Valor não-tributado","N","","2","","",""
"D100","pva","22","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","060","","","",""
"D100","pva","23","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"D100","pva","24","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE (Preencher com 9999999, se Exterior)","N","007*","","","",""
"D100","pva","25","COD_MUN_DEST","Código do município de destino do serviço, conforme a tabela IBGE (Preencher com 9999999, se Exterior)","N","007*","","","",""
"D101","pva","1","REG","Texto fixo contendo “D101”","C","004*","","","",""
"D101","pva","2","VL_FCP_UF_DEST","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino se for operação de entrada ou da UF de origem de se for operação de saída","N","","2","O","",""
"D101","pva","3","VL_ICMS_UF_DEST","Valor total do ICMS interestadual para a UF de destino","N","","2","O","",""
"D101","pva","4","VL_ICMS_UF_REM","Valor total do ICMS interestadual para a UF do remetente","N","","2","O","",""
"D110","pva","1","REG","Texto fixo contendo “D110”","C","004*","","OC","",""
"D110","pva","2","NUM_ITEM","Número seqüencial do item no documento fiscal","N","003","","","",""
"D110","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"D110","pva","4","VL_SERV","Valor do serviço","N","","2","","",""
"D110","pva","5","VL_OUT","Outros valores","N","","2","","",""
"D120","pva","1","REG","Texto fixo contendo “D120”","C","004*","","O","",""
"D120","pva","2","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D120","pva","3","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE","N","007*","","","",""
"D120","pva","4","VEIC_ID","Placa de identificação do veículo","C","007","","","",""
"D120","pva","5","UF_ID","Sigla da UF da placa do veículo","C","002","","","",""
"D130","pva","1","REG","Texto fixo contendo “D130”","C","004*","","OC","",""
"D130","pva","2","COD_PART_CONSG","Código do participante (campo 02 do Registro 0150): - consignatário, se houver","C","060","","","",""
"D130","pva","3","COD_PART_RED","Código do participante (campo 02 do Registro 0150): - redespachante, se houver","C","060","","","",""
"D130","pva","4","IND_FRT_RED","Indicador do tipo do frete da operação de redespacho","C","001","","","",""
"D130","pva","5","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D130","pva","6","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE","N","007*","","","",""
"D130","pva","7","VEIC_ID","Placa de identificação do veículo","C","007","","","",""
"D130","pva","8","VL_LIQ_FRT","Valor líquido do frete","N","","2","","",""
"D130","pva","9","VL_SEC_CAT","Soma de valores de SEC/CAT (serviços de coleta/custo adicional de transporte)","N","","2","","",""
"D130","pva","10","VL_DESP","Soma de valores de despacho","N","","2","","",""
"D130","pva","11","VL_PEDG","Soma dos valores de pedágio","N","","2","","",""
"D130","pva","12","VL_OUT","Outros valores","N","","2","","",""
"D130","pva","13","VL_FRT","Valor total do frete","N","","2","","",""
"D130","pva","14","UF_ID","Sigla da UF da placa do veículo","C","002","","","",""
"D140","pva","1","REG","Texto fixo contendo “D140”","C","004*","","OC","",""
"D140","pva","2","COD_PART_CONSG","Código do participante (campo 02 do Registro 0150): - consignatário, se houver","C","060","","","",""
"D140","pva","3","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D140","pva","4","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE","N","007*","","","",""
"D140","pva","5","IND_VEIC","Indicador do tipo do veículo transportador","C","001","","","",""
"D140","pva","6","VEIC_ID","Identificação da embarcação (IRIM ou Registro CPP)","C","","","","",""
"D140","pva","7","IND_NAV","Indicador do tipo da navegação","C","001","","","",""
"D140","pva","8","VIAGEM","Número da viagem","N","","","","",""
"D140","pva","9","VL_FRT_LIQ","Valor líquido do frete","N","","2","","",""
"D140","pva","10","VL_DESP_PORT","Valor das despesas portuárias","N","","2","","",""
"D140","pva","11","VL_DESP_CAR_DESC","Valor das despesas com carga e descarga","N","","2","","",""
"D140","pva","12","VL_OUT","Outros valores","N","","2","","",""
"D140","pva","13","VL_FRT_BRT","Valor bruto do frete","N","","2","","",""
"D140","pva","14","VL_FRT_MM","Valor adicional do frete para renovação da Marinha Mercante","N","","2","","",""
"D150","pva","1","REG","Texto fixo contendo “D150”","C","004*","","OC","",""
"D150","pva","2","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D150","pva","3","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE","N","007*","","","",""
"D150","pva","4","VEIC_ID","Identificação da aeronave (DAC)","C","","","","",""
"D150","pva","5","VIAGEM","Número do vôo","N","","","","",""
"D150","pva","6","IND_TFA","Indicador do tipo de tarifa aplicada","C","001","","","",""
"D150","pva","7","VL_PESO_TX","Peso taxado","N","","2","","",""
"D150","pva","8","VL_TX_TERR","Valor da taxa terrestre","N","","2","","",""
"D150","pva","9","VL_TX_RED","Valor da taxa de redespacho","N","","2","","",""
"D150","pva","10","VL_OUT","Outros valores","N","","2","","",""
"D150","pva","11","VL_TX_ADV","Valor da taxa “ad valorem”","N","","2","","",""
"D160","pva","1","REG","Texto fixo contendo “D160”","C","004*","","OC","",""
"D160","pva","2","DESPACHO","Identificação do número do despacho","C","","","","",""
"D160","pva","3","CNPJ_CPF_REM","CNPJ ou CPF do remetente das mercadorias que constam na nota fiscal","C","014","","","",""
"D160","pva","4","IE_REM","Inscrição Estadual do remetente das mercadorias que constam na nota fiscal","C","014","","","",""
"D160","pva","5","COD_MUN_ORI","Código do município de origem, conforme tabela IBGE","N","007*","","","",""
"D160","pva","6","CNPJ_CPF_DEST","CNPJ ou CPF do destinatário das mercadorias que constam na nota fiscal","C","014","","","",""
"D160","pva","7","IE_DEST","Inscrição Estadual do destinatário das mercadorias que constam na nota fiscal","C","014","","","",""
"D160","pva","8","COD_MUN_DEST","Código do município de destino, conforme tabela IBGE","N","007*","","","",""
"D161","pva","1","REG","Texto fixo contendo “D161”","C","004*","","OC","",""
"D161","pva","2","IND_CARGA","Indicador do tipo de transporte da carga coletada","N","001","","","",""
"D161","pva","3","CNPJ_CPF_COL","Número do CNPJ ou CPF do contribuinte do local de coleta","C","014","","","",""
"D161","pva","4","IE_COL","Inscrição Estadual do contribuinte do local de coleta","C","014","","","",""
"D161","pva","5","COD_MUN_COL","Código do município do local de coleta, conforme tabela IBGE","N","007*","","","",""
"D161","pva","6","CNPJ_CPF_ENTG","Número do CNPJ ou CPF do contribuinte do local de entrega","C","014","","","",""
"D161","pva","7","IE_ENTG","Inscrição Estadual do contribuinte do local de entrega","C","014","","","",""
"D161","pva","8","COD_MUN_ENTG","Código do município do local de entrega, conforme tabela IBGE","N","007*","","","",""
"D162","pva","1","REG","Texto fixo contendo“D162”","C","004*","","","",""
"D162","pva","2","COD_MOD","Código do Modelo de Documento Fiscal","C","002","","","",""
"D162","pva","3","SER","Série do Documento fiscal","C","004","","","",""
"D162","pva","4","NUM_DOC","Número do documento fiscal","N","009","","","",""
"D162","pva","5","DT_DOC","Data de emissão do Documento Fiscal","D","008*","","","",""
"D162","pva","6","VL_DOC","Valor total do documento fiscal","N","","2","","",""
"D162","pva","7","VL_MERC","Valor das mercadorias constantes no documento fiscal","N","","2","","",""
"D162","pva","8","QTD_VOL","Quantidade de volumes transportados","N","","","","",""
"D162","pva","9","PESO_BRT","Peso bruto dos volumes transportados (em kg)","N","","2","","",""
"D162","pva","10","PESO_LIQ","Peso líquido dos volumes transportados (em kg)","N","","2","","",""
"D170","pva","1","REG","Texto fixo contendo “D170”","C","004*","","OC","",""
"D170","pva","2","COD_PART_CONSG","Código do participante (campo 02 do Registro 0150): - consignatário, se houver","C","060","","","",""
"D170","pva","3","COD_PART_RED","Código do participante (campo 02 do Registro 0150): - redespachante, se houver","C","060","","","",""
"D170","pva","4","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D170","pva","5","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE","N","007*","","","",""
"D170","pva","6","OTM","Registro do operador de transporte multimodal","C","","","","",""
"D170","pva","7","IND_NAT_FRT","Indicador da natureza do frete","C","001","","","",""
"D170","pva","8","VL_LIQ_FRT","Valor líquido do frete","N","","2","","",""
"D170","pva","9","VL_GRIS","Valor do GRIS (gerenciamento de risco)","N","","2","","",""
"D170","pva","10","VL_PDG","Somatório dos valores de pedágio","N","","2","","",""
"D170","pva","11","VL_OUT","Outros valores","N","","2","","",""
"D170","pva","12","VL_FRT","Valor total do frete","N","","2","","",""
"D170","pva","13","VEIC_ID","Placa de identificação do veículo","C","007","","","",""
"D170","pva","14","UF_ID","Sigla da UF da placa do veículo","C","002","","","",""
"D180","pva","1","REG","Texto fixo contendo “D180”","C","004*","","","",""
"D180","pva","2","NUM_SEQ","Número de ordem seqüencial do modal","N","","","","",""
"D180","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001","","","",""
"D180","pva","4","CNPJ_CPF_EMIT","CNPJ/CPF do participante emitente do modal","C","014","","","",""
"D180","pva","5","UF_EMIT","Sigla da unidade da federação do participante emitente do modal","C","002*","","","",""
"D180","pva","6","IE_EMIT","Inscrição Estadual do participante emitente do modal","C","014","","","",""
"D180","pva","7","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D180","pva","8","CNPJ_CPF_TOM","CNPJ/CPF do participante tomador do serviço","C","014","","","",""
"D180","pva","9","UF_TOM","Sigla da unidade da federação do participante tomador do serviço","C","002*","","","",""
"D180","pva","10","IE_TOM","Inscrição Estadual do participante tomador do serviço","C","014","","","",""
"D180","pva","11","COD_MUN_DEST","Código do município de destino, conforme a tabela IBGE(Preencher com 9999999, se Exterior)","N","007*","","","",""
"D180","pva","12","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002","","","",""
"D180","pva","13","SER","Série do documento fiscal","C","004","","","",""
"D180","pva","14","SUB","Subsérie do documento fiscal","N","003","","","",""
"D180","pva","15","NUM_DOC","Número do documento fiscal","N","009","","","",""
"D180","pva","16","DT_DOC","Data da emissão do documento fiscal","D","008*","","","",""
"D180","pva","17","VL_DOC","Valor total do documento fiscal","N","","2","","",""
"D190","pva","1","REG","Texto fixo contendo “D190”","C","004*","","O","",""
"D190","pva","2","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","O","",""
"D190","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","O","",""
"D190","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D190","pva","5","VL_OPR","Valor da operação correspondente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D190","pva","6","VL_BC_ICMS","Parcela correspondente ao “Valor da base de cálculo do ICMS” referente à combinação CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D190","pva","7","VL_ICMS","Parcela correspondente ao “Valor do ICMS” referente à combinação CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D190","pva","8","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D190","pva","9","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"D195","pva","1","REG","Texto fixo contendo “D195”","C","004*","","","",""
"D195","pva","2","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","O","",""
"D195","pva","3","TXT_COMPL","Descrição complementar do código de observação","C","","","","",""
"D197","pva","1","REG","Texto fixo contendo “D197”","C","004*","","","",""
"D197","pva","2","COD_AJ","Código do ajuste/benefício/incentivo, conforme TABELA DE AJUSTES E INFORMAÇÕES DE VALORES PROVENIENTES DE DOCUMENTO FISCAL","C","010*","","O","",""
"D197","pva","3","DESCR_COMPL_AJ","Descrição complementar do ajuste do documento fiscal","C","","","","",""
"D197","pva","4","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"D197","pva","5","VL_BC_ICMS","Base de cálculo do ICMS ou do ICMS ST","N","","2","","",""
"D197","pva","6","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D197","pva","7","VL_ICMS","Valor do ICMS ou ICMS ST","N","","2","","",""
"D197","pva","8","VL_OUTROS","Outros valores","N","","2","","",""
"D300","pva","1","REG","Texto fixo contendo “D300”","C","004*","","OC","",""
"D300","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"D300","pva","3","SER","Série do documento fiscal","C","004","","","",""
"D300","pva","4","SUB","Subsérie do documento fiscal","N","004","","","",""
"D300","pva","5","NUM_DOC_INI","Número do primeiro documento fiscal emitido (mesmo modelo, série e subsérie)","N","006","","","",""
"D300","pva","6","NUM_DOC_FIN","Número do último documento fiscal emitido (mesmo modelo, série e subsérie)","N","","","","",""
"D300","pva","7","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"D300","pva","8","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"D300","pva","9","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D300","pva","10","DT_DOC","Data da emissão dos documentos fiscais","D","008*","","","",""
"D300","pva","11","VL_OPR","Valor total acumulado das operações correspondentes à combinação de CST/ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","","",""
"D300","pva","12","VL_DESC","Valor total dos descontos","N","","2","","",""
"D300","pva","13","VL_SERV","Valor total da prestação de serviço","N","","2","","",""
"D300","pva","14","VL_SEG","Valor de seguro","N","","2","","",""
"D300","pva","15","VL_OUT_DESP","Valor de outras despesas","N","","2","","",""
"D300","pva","16","VL_BC_ICMS","Valor total da base de cálculo do ICMS","N","","2","O","",""
"D300","pva","17","VL_ICMS","Valor total do ICMS","N","","2","O","",""
"D300","pva","18","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D300","pva","19","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"D300","pva","20","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"D301","pva","1","REG","Texto fixo contendo “D301”","C","004*","","","",""
"D301","pva","2","NUM_DOC_CANC","Número do documento fiscal cancelado","N","","","","",""
"D310","pva","1","REG","Texto fixo contendo “D310”","C","004*","","OC","",""
"D310","pva","2","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D310","pva","3","VL_SERV","Valor total da prestação de serviço","N","","2","","",""
"D310","pva","4","VL_BC_ICMS","Valor total da base de cálculo do ICMS","N","","2","","",""
"D310","pva","5","VL_ICMS","Valor total do ICMS","N","","2","","",""
"D350","pva","1","REG","Texto fixo contendo “D350”","C","004*","","OC","",""
"D350","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"D350","pva","3","ECF_MOD","Modelo do equipamento","C","020","","","",""
"D350","pva","4","ECF_FAB","Número de série de fabricação do ECF","C","021","","","",""
"D350","pva","5","ECF_CX","Número do caixa atribuído ao ECF","N","003","","","",""
"D355","pva","1","REG","Texto fixo contendo “D355”","C","004*","","O","",""
"D355","pva","2","DT_DOC","Data do movimento a que se refere a Redução Z","D","008*","","","",""
"D355","pva","3","CRO","Posição do Contador de Reinício de Operação","N","003","","","",""
"D355","pva","4","CRZ","Posição do Contador de Redução Z","N","006","","","",""
"D355","pva","5","NUM_COO_FIN","Número do Contador de Ordem de Operação do último documento emitido no dia. (Número do COO na Redução Z)","N","009","","","",""
"D355","pva","6","GT_FIN","Valor do Grande Total Final","N","","2","","",""
"D355","pva","7","VL_BRT","Valor da venda bruta","N","","2","","",""
"D360","pva","1","REG","Texto fixo contendo “D360”","C","004*","","OC","",""
"D360","pva","2","VL_PIS","Valor total do PIS","N","","2","","",""
"D360","pva","3","VL_COFINS","Valor total da COFINS","N","","2","","",""
"D365","pva","1","REG","Texto fixo contendo “D365”","C","004*","","O","",""
"D365","pva","2","COD_TOT_PAR","Código do totalizador, conforme Tabela de Códigos dos Totalizadores Parciais da REDUÇÃO Z","C","007","","","",""
"D365","pva","3","VLR_ACUM_TOT","Valor acumulado no totalizador, relativo à respectiva Redução Z","N","","2","","",""
"D365","pva","4","NR_TOT","Número do totalizador quando ocorrer mais de uma situação com a mesma carga tributária efetiva","N","002","","","",""
"D365","pva","5","DESCR_NR_TOT","Descrição da situação tributária relativa ao totalizador parcial do campo anterior","C","","","","",""
"D370","pva","1","REG","Texto fixo contendo “D370”","C","004*","","OC","",""
"D370","pva","2","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D370","pva","3","VL_SERV","Valor total da prestação de serviço","N","","2","","",""
"D370","pva","4","QTD_BILH","Quantidade de bilhetes emitidos","N","","","","",""
"D370","pva","5","VL_BC_ICMS","Valor total da base de cálculo do ICMS","N","","2","","",""
"D370","pva","6","VL_ICMS","Valor total do ICMS","N","","2","","",""
"D390","pva","1","REG","Texto fixo contendo “D390”","C","004*","","O","",""
"D390","pva","2","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"D390","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"D390","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D390","pva","5","VL_OPR","Valor da operação correspondente à combinação de CST/ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","","",""
"D390","pva","6","VL_BC_ISSQN","Valor da base de cálculo do ISSQN","N","","2","","",""
"D390","pva","7","ALIQ_ISSQN","Alíquota do ISSQN","N","006","2","","",""
"D390","pva","8","VL_ISSQN","Valor do ISSQN","N","","2","","",""
"D390","pva","9","VL_BC_ICMS","Base de cálculo do ICMS acumulada relativa à alíquota informada","N","","2","","",""
"D390","pva","10","VL_ICMS","Valor do ICMS acumulado relativo à alíquota informada","N","","2","","",""
"D390","pva","11","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"D400","pva","1","REG","Texto fixo contendo “D400”","C","004*","","OC","",""
"D400","pva","2","COD_PART","Código do participante (campo 02 do Registro 0150): - agência, filial ou posto","C","060","","","",""
"D400","pva","3","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"D400","pva","4","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","","",""
"D400","pva","5","SER","Série do documento fiscal","C","004","","","",""
"D400","pva","6","SUB","Subsérie do documento fiscal","N","003","","","",""
"D400","pva","7","NUM_DOC","Número do documento fiscal resumo","N","006","","","",""
"D400","pva","8","DT_DOC","Data da emissão do documento fiscal","D","008*","","","",""
"D400","pva","9","VL_DOC","Valor total do documento fiscal","N","","2","","",""
"D400","pva","10","VL_DESC","Valor acumulado dos descontos","N","","2","","",""
"D400","pva","11","VL_SERV","Valor acumulado da prestação de serviço","N","","2","","",""
"D400","pva","12","VL_BC_ICMS","Valor total da base de cálculo do ICMS","N","","2","","",""
"D400","pva","13","VL_ICMS","Valor total do ICMS","N","","2","","",""
"D400","pva","14","VL_PIS","Valor do PIS","N","","2","","",""
"D400","pva","15","VL_COFINS","Valor da COFINS","N","","2","","",""
"D400","pva","16","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"D410","pva","1","REG","Texto fixo contendo “D410”","C","004*","","O","",""
"D410","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002","","","",""
"D410","pva","3","SER","Série do documento fiscal","C","004","","","",""
"D410","pva","4","SUB","Subsérie do documento fiscal","N","003","","","",""
"D410","pva","5","NUM_DOC_INI","Número do documento fiscal inicial (mesmo modelo, série e subsérie)","N","006","","","",""
"D410","pva","6","NUM_DOC_FIN","Número do documento fiscal final(mesmo modelo, série e subsérie)","N","006","","","",""
"D410","pva","7","DT_DOC","Data da emissão dos documentos fiscais","D","008*","","","",""
"D410","pva","8","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"D410","pva","9","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"D410","pva","10","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D410","pva","11","VL_OPR","Valor total acumulado das operações correspondentes à combinação de CST/ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","","",""
"D410","pva","12","VL_DESC","Valor acumulado dos descontos","N","","2","","",""
"D410","pva","13","VL_SERV","Valor acumulado da prestação de serviço","N","","2","","",""
"D410","pva","14","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS","N","","2","","",""
"D410","pva","15","VL_ICMS","Valor acumulado do ICMS","N","","2","","",""
"D411","pva","1","REG","Texto fixo contendo “D411”","C","004*","","","",""
"D411","pva","2","NUM_DOC_CANC","Número do documento fiscal cancelado","N","006","","","",""
"D420","pva","1","REG","Texto fixo contendo “D420”","C","004*","","OC","",""
"D420","pva","2","COD_MUN_ORIG","Código do município de origem do serviço, conforme a tabela IBGE","N","007*","","","",""
"D420","pva","3","VL_SERV","Valor total da prestação de serviço","N","","2","","",""
"D420","pva","4","VL_BC_ICMS","Valor total da base de cálculo do ICMS","N","","2","","",""
"D420","pva","5","VL_ICMS","Valor total do ICMS","N","","2","","",""
"D500","pva","1","REG","Texto fixo contendo “D500”","C","004*","","OC","",""
"D500","pva","2","IND_OPER","Indicador do tipo de operação","C","001","","O","",""
"D500","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001","","O","",""
"D500","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do prestador do serviço, no caso de aquisição; - do tomador do serviço, no caso de prestação","C","060","","O","",""
"D500","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","O","",""
"D500","pva","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","O","",""
"D500","pva","7","SER","Série do documento fiscal","C","004","","","",""
"D500","pva","8","SUB","Subsérie do documento fiscal","C","003","","","",""
"D500","pva","9","NUM_DOC","Número do documento fiscal","N","009","","O","",""
"D500","pva","10","DT_DOC","Data da emissão do documento fiscal","D","008*","","O","",""
"D500","pva","11","DT_A_P","Data da entrada (aquisição) ou da saída (prestação do serviço)","D","008*","","O","",""
"D500","pva","12","VL_DOC","Valor total do documento fiscal","N","","2","O","",""
"D500","pva","13","VL_DESC","Valor total do desconto","N","","2","","",""
"D500","pva","14","VL_SERV","Valor da prestação de serviços","N","","2","O","",""
"D500","pva","15","VL_SERV_NT","Valor total dos serviços não-tributados pelo ICMS","N","","2","","",""
"D500","pva","16","VL_TERC","Valores cobrados em nome de terceiros","N","","2","","",""
"D500","pva","17","VL_DA","Valor de outras despesas indicadas no documento fiscal","N","","2","","",""
"D500","pva","18","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2","","",""
"D500","pva","19","VL_ICMS","Valor do ICMS","N","","2","","",""
"D500","pva","20","COD_INF","Código da informação complementar (campo 02 do Registro 0450)","C","006","","","",""
"D500","pva","21","VL_PIS","Valor do PIS","N","","2","","",""
"D500","pva","22","VL_COFINS","Valor da COFINS","N","","2","","",""
"D500","pva","23","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"D500","pva","24","TP_ASSINANTE","Código do Tipo de Assinante","N","001*","","","",""
"D510","pva","1","REG","Texto fixo contendo “D510”","C","004*","","OC","",""
"D510","pva","2","NUM_ITEM","Número seqüencial do item no documento fiscal","N","003","","","",""
"D510","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"D510","pva","4","COD_CLASS","Código de classificação do item do serviço de comunicação ou de telecomunicação, conforme a Tabela Classificação de Itens de Energia Elétrica, Serviços de Comunicação e Telecomunicação","N","004*","","","",""
"D510","pva","5","QTD","Quantidade do item","N","","3","","",""
"D510","pva","6","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","","","",""
"D510","pva","7","VL_ITEM","Valor do item","N","","2","","",""
"D510","pva","8","VL_DESC","Valor total do desconto","N","","2","","",""
"D510","pva","9","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"D510","pva","10","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"D510","pva","11","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2","","",""
"D510","pva","12","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D510","pva","13","VL_ICMS","Valor do ICMS creditado/debitado","N","","2","","",""
"D510","pva","14","VL_BC_ICMS_ST","Valor da base de cálculo do ICMS de outras UFs","N","","2","","",""
"D510","pva","15","VL_ICMS_ST","Valor do ICMS retido outras UFs","N","","2","","",""
"D510","pva","16","IND_REC","Indicador do tipo de receita","C","001","","","",""
"D510","pva","17","COD_PART","Código do participante (campo 02 do Registro 0150) receptor da receita, terceiro da operação, se houver","C","060","","","",""
"D510","pva","18","VL_PIS","Valor do PIS","N","","2","","",""
"D510","pva","19","VL_COFINS","Valor da COFINS","N","","2","","",""
"D510","pva","20","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"D530","pva","1","REG","Texto fixo contendo “D530”","C","004*","","OC","",""
"D530","pva","2","IND_SERV","Indicador do tipo de serviço prestado","C","001","","","",""
"D530","pva","3","DT_INI_SERV","Data em que se iniciou a prestação do serviço","D","008*","","","",""
"D530","pva","4","DT_FIN_SERV","Data em que se encerrou a prestação do serviço","D","008*","","","",""
"D530","pva","5","PER_FISCAL","Período fiscal da prestação do serviço (MMAAAA)","N","006*","","","",""
"D530","pva","6","COD_AREA","Código de área do terminal faturado","C","","","","",""
"D530","pva","7","TERMINAL","Identificação do terminal faturado","N","","","","",""
"D590","pva","1","REG","Texto fixo contendo “D590”","C","004*","","OC","",""
"D590","pva","2","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","O","",""
"D590","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","O","",""
"D590","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"D590","pva","5","VL_OPR","Valor da operação correspondente à combinação de CST/ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","O","",""
"D590","pva","6","VL_BC_ICMS","Parcela correspondente ao “Valor da base de cálculo do ICMS” referente à combinação CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D590","pva","7","VL_ICMS","Parcela correspondente ao “Valor do ICMS” referente à combinação CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D590","pva","8","VL_BC_ICMS_ST","Parcela correspondente ao “Valor da base de cálculo do ICMS” de outras UFs referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D590","pva","9","VL_ICMS_ST","Parcela correspondente ao valor creditado/debitado do ICMS de outras UFs, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D590","pva","10","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"D590","pva","11","COD_OBS","Código da observação (campo 02 do Registro 0460)","C","006","","","",""
