"register","field","rule","severity","reads","message"
"B510","IND_PROF","REGRA_VALIDA_IND_SOC_IND_PROF","1","IND_SOC","Se o campo IND_SOC possuir valor igual a 0, então obrigatoriamente o campo IND_PROF deve ser também igual a 0."
"B510","CPF","REGRA_DIGITO_CPF","1","",""
"B990","","REGRA_QTD_LIN_BLOCOB","0","",""
"B990","","REGRA_BLOCO_COM_SEM_MOVIMENTO","0","",""
"C100","","REGRA_EXISTE_COD_PART_V2","6","",""
"C100","","REGRA_DUPLICIDADE_NO_REGISTRO_C100_EMISSAO_PROPRIA","6","",""
"C100","","REGRA_DUPLICIDADE_NO_REGISTRO_C100_EMISSAO_TERCEIROS","6","",""
"C100","DT_DOC","REGRA_DATA_MENOR_IGUAL_DT_FIN_0000_DT_DOC_C100","2","",""
"C100","DT_E_S","REGRA_DATA_MENOR_IGUAL_DT_FIN_0000_DT_ES","2","",""
"C100","DT_E_S","REGRA_DT_E_S_MAIOR_IGUAL_DT_DOC","2","DT_DOC","Data inválida. Informar data maior ou igual à data de emissão do documento fiscal."
"C100","DT_E_S","REGRA_OBRIGATORIO_DT_E_S","2","DT_DOC;IND_OPER","O campo é obrigatorio para documento de saída com data de emissão posterior à data final da escrituração."
"C100","","REGRA_VL_MERC_C170","6","","O valor das mercadorias (VL_MERC do Registro C100) deve ser maior ou igual à soma dos valores dos itens dos ""Registros C170"" (exclusive para NF-e de entrada regular ou extemporânea)."
"C100","","REGRA_VL_IPI_C190","6","",""
"C100","","REGRA_COERENCIA_CFOP_C170","6","",""
"C100","","REGRA_COERENCIA_CFOP_C185","6","",""
"C100","","REGRA_VL_BC_ICMS_ANALIT","6","","Valor inválido. A soma do campo VL_BC_ICMS dos registros analíticos (C190, C590, C690, D190, D590 e D690) deve ser igual ao campo VL_BC_ICMS do documento mestre dos registros (C100, C500, C600, D100, D500 e D600, respectivamente)."
"C100","","REGRA_VL_ICMS_ANALIT","6","","Valor inválido. A soma do campo VL_ICMS dos registros analíticos (C190, C590, C690, D190, D590 e D690) deve ser igual ao campo VL_ICMS do documento mestre dos registros (C100, C500, C600, D100, D500 e D600, respectivamente)."
"C100","","REGRA_OBRIGATORIO_C110_14001_V1","6","",""
"C100","","REGRA_VL_BC_ICMS_ST_ANALIT","6","","Valor inválido. A soma do campo VL_BC_ICMS_ST dos registros analíticos (C190, C590, C690, D190 e D690) deve ser igual ao campo VL_BC_ICMS_ST do documento mestre dos registros (C100, C500, C600, D100 e D600, respectivamente)."
"C100","","REGRA_VL_ICMS_ST_ANALIT","6","","Valor inválido. A soma do campo VL_ICMS_ST dos registros analíticos (C190, C590, C690, D190 e D690) deve ser igual ao campo VL_ICMS_ST do documento mestre dos registros (C100, C500, C600, D100 e D600, respectivamente)."
"C100","","REGRA_VALIDA_DESC_DOC_ITEM","6","","O valor total do desconto deve ser igual a soma dos valores de desconto comercial de cada item (VL_DESC do Registro C170)."
"C100","CHV_NFE","REGRA_COMPARA_CNPJ_NFE_CTE_12001_V1","2","COD_MOD;IND_EMIT;COD_SIT",""
"C100","CHV_NFE","REGRA_COMPARA_NUM_DOC_NFE_CTE_C100_V4","2","NUM_DOC",""
"C100","CHV_NFE","REGRA_COMPARA_UF_NFE_CTE_13001_V1","2","",""
"C100","CHV_NFE","REGRA_VALIDA_CHV_NFE_CTE","2","",""
