"block","code","required","conditional_required","level","card","spec_required","desc"
"M","M205","","","3","1:N","","Detalhamento por Código de Receita (Visão Debito DCTF)"
"M","M210","","True","3","1:N","OC","Detalhamento da Contribuição para o PIS/Pasep do Período"
"M","M211","","True","4","1:1","OC","Sociedades Cooperativas - Composição Da Base De Calculo - PIS/Pasep"
"M","M215","","","4","1:N","","Ajuste da Base de Cálculo da Contribuição PIS/Pasep Apurada"
"M","M220","","","4","1:N","","Ajustes da Contribuição para o PIS/Pasep Apurada"
"M","M225","","","5","1:N","","Detalhamento do Ajuste da Contribuição para o PIS/Pasep Apurada"
"M","M230","","","4","1:N","","Informações Adicionais de Diferimento"
"M","M300","","","2","1:N","","Contribuição de PIS/Pasep Diferida em Períodos Anteriores - Valores a Pagar no Período"
"M","M350","","","2","1:1","","PIS/Pasep - Folha de Salários"
"M","M400","","","2","1:N","","Receitas Isentas ou Não Alcançadas pela Incidência da Contribuição ou Sujeitas a Alíquota Zero ou com Suspensão - PIS/Pasep"
"M","M410","True","","3","1:N","O","Detalhamento das Receitas Isentas, Não Alcançadas pela Incidência da Contribuição, Sujeitas à Alíquota Zero ou de Vendas com Suspensão - PIS/Pasep"
"M","M500","","True","2","1:N","OC","Crédito de COFINS Relativo ao Período"
"M","M505","","True","3","1:N","OC","Detalhamento da Base de Cálculo do Crédito Apurado no Período - COFINS"
"M","M510","","","3","1:N","","Ajustes do Crédito de COFINS Apurado"
"M","M515","","","4","1:N","","Detalhamento do Ajuste do Crédito de COFINS Apurado"
"M","M600","True","","2","1:1","O","Consolidação da Contribuição para a Seguridade Social - COFINS do Período"
"M","M605","","","3","1:N","","Detalhamento por Código de Receita (Visão Debito DCTF)"
"M","M610","","True","3","1:N","OC","Detalhamento da Contribuição para a Seguridade Social - COFINS do Período"
"M","M611","","True","4","1:1","OC","Sociedades Cooperativas - Composição da Base de Cálculo - COFINS"
"M","M615","","","4","1:N","","Ajuste da Base de Cálculo da COFINS Apurada"
"M","M620","","","4","1:N","","Ajustes da COFINS Apurada"
"M","M625","","","5","1:N","","Detalhamento do Ajuste da COFINS Apurada"
"M","M630","","","4","1:N","","Informações Adicionais de Diferimento"
"M","M700","","","2","1:N","","COFINS Diferida em Períodos Anteriores - Valores a Pagar no Período"
"M","M800","","","2","1:N","","Receitas Isentas ou Não Alcançadas pela Incidência da Contribuição ou Sujeitas à Alíquota Zero ou com Suspensão - COFINS"
"M","M810","True","","3","1:N","O","Detalhamento das Receitas Isentas, Não Alcançadas pela Incidência da Contribuição, Sujeitas à Alíquota Zero ou de Vendas com Suspensão - COFINS"
"M","M990","True","","1","1:1","O","Encerramento do Bloco M"
"P","P001","","","1","1:1","","Abertura do Bloco P"
"P","P990","","","1","1:1","","Encerramento do Bloco P"
"1","1001","True","","1","1:1","O","Abertura do Bloco 1"
"1","1010","","","2","1:N","","Processo Referenciado - Ação Judicial"
"1","1011","","","3","1:N","","Detalhamento das Contribuições com Exigibilidade Suspensa"
"1","1020","","","2","1:N","","Processo Referenciado - Processo  Administrativo"
"1","1050","","","2","1:N","","Detalhamento de ajuste de Base de Cálculo - Valores Extra Apuração"
"1","1100","","","2","1:N","","Controle de Créditos Fiscais - PIS/Pasep"
"1","1300","","","2","1:N","","Controle dos Valores Retidos na Fonte - PIS/Pasep"
"1","1500","","","2","1:N","","Controle de Créditos Fiscais - COFINS"
"1","1700","","","2","1:N","","Controle dos Valores Retidos na Fonte - COFINS"
"1","1800","","","2","1:N","","Incorporação Imobiliária - RET"
"1","1809","","","3","1:N","","Processo Referenciado"
"1","1900","","True","2","1:N","OC","Consolidação dos documentos emitidos no período por pessoa jurídica submetida ao regime de tributação com base no lucro presumido - regime de caixa ou de competência"
"1","1990","True","","1","1:1","O","Encerramento do Bloco 1"
"9","9001","True","","1","1:1","O","Abertura do Bloco 9"
"9","9900","True","","2","1:N","O","Registros do Arquivo"
"9","9990","True","","1","1:1","O","Encerramento do Bloco 9"
"9","9999","True","","0","1:1","O","Encerramento do Arquivo Digital"
