"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0500","3","COD_NAT_CC","char","True","002*","","","C","O","Código da natureza da conta/grupo de contas"
"0500","4","IND_CTA","char","True","001*","","","C","O","Indicador do tipo de conta"
"0500","5","NIVEL","char","True","005","numeric_code","","N","O","Nível da conta analítica/grupo de contas"
"0500","6","COD_CTA","char","True","255","","","C","O","Código da conta analítica/grupo de contas"
"0500","7","NOME_CTA","char","True","060","","","C","O","Nome da conta analítica/grupo de contas"
"0500","8","COD_CTA_REF","char","","255","","","C","","Código da conta correlacionada no Plano de Contas Referenciado, publicado pela RFB"
"0500","9","CNPJ_EST","char","","014*","","","C","","CNPJ do estabelecimento, no caso da conta informada no campo COD_CTA ser específica de um estabelecimento"
"0600","2","DT_ALT","date","True","008*","","","D","O","Data da inclusão/alteração"
"0600","3","COD_CCUS","char","True","255","","","C","O","Código do centro de custos"
"0600","4","CCUS","char","True","060","","","C","O","Nome do centro de custos"
"0900","2","REC_TOTAL_BLOCO_A","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco A"
"0900","3","REC_NRB_BLOCO_A","float","","","","2","N","","Parcela da receita total escriturada no Bloco A (Campo 02) não classificada como receita bruta"
"0900","4","REC_TOTAL_BLOCO_C","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco C"
"0900","5","REC_NRB_BLOCO_C","float","","","","2","N","","Parcela da receita total escriturada no Bloco C (Campo 04) não classificada como receita bruta"
"0900","6","REC_TOTAL_BLOCO_D","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco D"
"0900","7","REC_NRB_BLOCO_D","float","","","","2","N","","Parcela da receita total escriturada no Bloco D (Campo 06) não classificada como receita bruta"
"0900","8","REC_TOTAL_BLOCO_F","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco F"
"0900","9","REC_NRB_BLOCO_F","float","","","","2","N","","Parcela da receita total escriturada no Bloco F (Campo 08) não classificada como receita bruta"
"0900","10","REC_TOTAL_BLOCO_I","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco I"
"0900","11","REC_NRB_BLOCO_I","float","","","","2","N","","Parcela da receita total escriturada no Bloco I (Campo 10) não classificada como receita bruta"
"0900","12","REC_TOTAL_BLOCO_1","float","True","","","2","N","O","Receita total referente aos registros escriturados no Bloco 1 (RET)"
"0900","13","REC_NRB_BLOCO_1","float","","","","2","N","","Parcela da receita total escriturada no Bloco 1 (Campo 12) não classificada como receita bruta"
