"block","code","desc","level","card","required"
"F","F525","Composição da receita escriturada no período - detalhamento da receita recebida pelo regime de caixa","3","1:N",""
"F","F550","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de competência","3","1:N",""
"F","F559","Processo Referenciado","4","1:N",""
"F","F560","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de competência (apuração da contribuição por unidade de medida de produto - alíquota em reais)","3","1:N",""
"F","F569","Processo Referenciado","4","1:N",""
"F","F600","Contribuição Retida na Fonte","3","1:N",""
"F","F700","Deduções Diversas","3","1:N",""
"F","F800","Créditos Decorrentes de Eventos de Incorporação, Fusão e Cisão","3","1:N",""
"F","F990","Encerramento do Bloco F","1","1:1","True"
"I","I001","Abertura do Bloco I - PJ - Apuração Específica do art. 3º - Lei nº 9.718","1","1:1",""
"I","I010","Identificação do Estabelecimento","2","1:N",""
"I","I100","Consolidação das Operações do Período","3","1:N",""
"I","I199","Processo Referenciado","4","1:N",""
"I","I200","Detalhamento das Receitas, Deduções e/ou Exclusões do Período","4","1:N",""
"I","I299","Processo Referenciado","5","1:N",""
"I","I300","Complemento das Operações - Informações Complementares de Receitas, Deduções e/ou Exclusões","5","1:N",""
"I","I399","Processo Referenciado","6","1:N",""
"I","I990","Encerramento do Bloco I","1","1:1",""
"M","M001","Abertura do Bloco M","1","1:1","True"
"M","M100","Crédito de PIS/Pasep Relativo ao Período","2","1:N",""
"M","M105","Detalhamento da Base de Cálculo do Crédito Apurado no Período - PIS/Pasep","3","1:N",""
"M","M110","Ajustes do Crédito de PIS/Pasep Apurado","3","1:N",""
"M","M115","Detalhamento do Ajuste do Crédito de PIS/Pasep Apurado","4","1:N",""
"M","M200","Consolidação da Contribuição para o PIS/Pasep do Período","2","1:1","True"
"M","M205","Detalhamento por Código de Receita (Visão Debito DCTF)","3","1:N",""
"M","M210","Detalhamento da Contribuição para o PIS/Pasep do Período","3","1:N",""
"M","M211","Sociedades Cooperativas - Composição Da Base De Calculo - PIS/Pasep","4","1:1",""
"M","M215","Ajuste da Base de Cálculo da Contribuição PIS/Pasep Apurada","4","1:N",""
"M","M220","Ajustes da Contribuição para o PIS/Pasep Apurada","4","1:N",""
"M","M225","Detalhamento do Ajuste da Contribuição para o PIS/Pasep Apurada","5","1:N",""
"M","M230","Informações Adicionais de Diferimento","4","1:N",""
"M","M300","Contribuição de PIS/Pasep Diferida em Períodos Anteriores - Valores a Pagar no Período","2","1:N",""
"M","M350","PIS/Pasep - Folha de Salários","2","1:1",""
"M","M400","Receitas Isentas ou Não Alcançadas pela Incidência da Contribuição ou Sujeitas a Alíquota Zero ou com Suspensão - PIS/Pasep","2","1:N",""
"M","M410","Detalhamento das Receitas Isentas, Não Alcançadas pela Incidência da Contribuição, Sujeitas à Alíquota Zero ou de Vendas com Suspensão - PIS/Pasep","3","1:N","True"
"M","M500","Crédito de COFINS Relativo ao Período","2","1:N",""
"M","M505","Detalhamento da Base de Cálculo do Crédito Apurado no Período - COFINS","3","1:N",""
"M","M510","Ajustes do Crédito de COFINS Apurado","3","1:N",""
"M","M515","Detalhamento do Ajuste do Crédito de COFINS Apurado","4","1:N",""
"M","M600","Consolidação da Contribuição para a Seguridade Social - COFINS do Período","2","1:1","True"
"M","M605","Detalhamento por Código de Receita (Visão Debito DCTF)","3","1:N",""
"M","M610","Detalhamento da Contribuição para a Seguridade Social - COFINS do Período","3","1:N",""
"M","M611","Sociedades Cooperativas - Composição da Base de Cálculo - COFINS","4","1:1",""
"M","M615","Ajuste da Base de Cálculo da COFINS Apurada","4","1:N",""
"M","M620","Ajustes da COFINS Apurada","4","1:N",""
"M","M625","Detalhamento do Ajuste da COFINS Apurada","5","1:N",""
"M","M630","Informações Adicionais de Diferimento","4","1:N",""
"M","M700","COFINS Diferida em Períodos Anteriores - Valores a Pagar no Período","2","1:N",""
"M","M800","Receitas Isentas ou Não Alcançadas pela Incidência da Contribuição ou Sujeitas à Alíquota Zero ou com Suspensão - COFINS","2","1:N",""
"M","M810","Detalhamento das Receitas Isentas, Não Alcançadas pela Incidência da Contribuição, Sujeitas à Alíquota Zero ou de Vendas com Suspensão - COFINS","3","1:N","True"
"M","M990","Encerramento do Bloco M","1","1:1","True"
"P","P001","Abertura do Bloco P","1","1:1",""
"P","P990","Encerramento do Bloco P","1","1:1",""
"1","1001","Abertura do Bloco 1","1","1:1","True"
"1","1010","Processo Referenciado - Ação Judicial","2","1:N",""
"1","1011","Detalhamento das Contribuições com Exigibilidade Suspensa","3","1:N",""
"1","1020","Processo Referenciado - Processo  Administrativo","2","1:N",""
"1","1050","Detalhamento de ajuste de Base de Cálculo - Valores Extra Apuração","2","1:N",""
"1","1100","Controle de Créditos Fiscais - PIS/Pasep","2","1:N",""
"1","1300","Controle dos Valores Retidos na Fonte - PIS/Pasep","2","1:N",""
"1","1500","Controle de Créditos Fiscais - COFINS","2","1:N",""
"1","1700","Controle dos Valores Retidos na Fonte - COFINS","2","1:N",""
"1","1800","Incorporação Imobiliária - RET","2","1:N",""
"1","1809","Processo Referenciado","3","1:N",""
"1","1900","Consolidação dos documentos emitidos no período por pessoa jurídica submetida ao regime de tributação com base no lucro presumido - regime de caixa ou de competência","2","1:N",""
"1","1990","Encerramento do Bloco 1","1","1:1","True"
"9","9001","Abertura do Bloco 9","1","1:1","True"
"9","9900","Registros do Arquivo","2","1:N","True"
"9","9990","Encerramento do Bloco 9","1","1:1","True"
"9","9999","Encerramento do Arquivo Digital","0","1:1","True"
