"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"D200","pva","6","NUM_DOC_INI","Número do documento fiscal inicial (mesmo modelo, série e subsérie)","N","009","","O"
"D200","pva","7","NUM_DOC_FIN","Número do documento fiscal final (mesmo modelo, série e subsérie)","N","009","","O"
"D200","pva","8","CFOP","Código Fiscal de Operação e Prestação conforme tabela indicada no item 4.2.2","N","004*","","O"
"D200","pva","9","DT_REF","Data do dia de referência do resumo diário","D","008*","","O"
"D200","pva","10","VL_DOC","Valor total dos documentos fiscais","N","","2","O"
"D200","pva","11","VL_DESC","Valor total dos descontos","N","","2",""
"D201","pva","1","REG","Texto fixo contendo “D201”","C","004","",""
"D201","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D201","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"D201","pva","4","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D201","pva","5","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D201","pva","6","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D201","pva","7","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D205","pva","1","REG","Texto fixo contendo “D205”","C","004","",""
"D205","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D205","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"D205","pva","4","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D205","pva","5","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D205","pva","6","VL_COFINS","Valor da COFINS","N","","2",""
"D205","pva","7","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D209","pva","1","REG","Texto fixo contendo “D209”","C","004","",""
"D209","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D209","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D300","pva","1","REG","Texto fixo contendo “D300”","C","004","","OC"
"D300","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D300","pva","3","SER","Série do documento fiscal","C","004","",""
"D300","pva","4","SUB","Subsérie do documento fiscal","N","003","",""
"D300","pva","5","NUM_DOC_INI","Número do primeiro documento fiscal emitido (mesmo modelo, série e subsérie)","N","006","",""
"D300","pva","6","NUM_DOC_FIN","Número do último documento fiscal emitido (mesmo modelo, série e subsérie)","N","","",""
"D300","pva","7","CFOP","Código Fiscal de Operação e Prestação conforme tabela indicada no item 4.2.2","N","004*","","O"
"D300","pva","8","DT_REF","Data do dia de referência do resumo diário","D","008*","","O"
"D300","pva","9","VL_DOC","Valor total dos documentos fiscais emitidos","N","","2","O"
"D300","pva","10","VL_DESC","Valor total dos descontos","N","","2",""
"D300","pva","11","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D300","pva","12","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D300","pva","13","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D300","pva","14","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D300","pva","15","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D300","pva","16","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D300","pva","17","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D300","pva","18","VL_COFINS","Valor da COFINS","N","","2",""
"D300","pva","19","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D309","pva","1","REG","Texto fixo contendo “D309”","C","004","",""
"D309","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D309","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D350","pva","1","REG","Texto fixo contendo “D350”","C","004","","OC"
"D350","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D350","pva","3","ECF_MOD","Modelo do equipamento","C","020","","O"
"D350","pva","4","ECF_FAB","Número de série de fabricação do ECF","C","021","","O"
"D350","pva","5","DT_DOC","Data do movimento a que se refere a Redução Z","D","008*","","O"
"D350","pva","6","CRO","Posição do Contador de Reinício de Operação","N","003","","O"
"D350","pva","7","CRZ","Posição do Contador de Redução Z","N","006","","O"
"D350","pva","8","NUM_COO_FIN","Número do Contador de Ordem de Operação do último documento emitido no dia. (Número do COO na Redução Z)","N","009","","O"
"D350","pva","9","GT_FIN","Valor do Grande Total final","N","","2","O"
"D350","pva","10","VL_BRT","Valor da venda bruta","N","","2","O"
"D350","pva","11","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D350","pva","12","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D350","pva","13","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D350","pva","14","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"D350","pva","15","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"D350","pva","16","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D350","pva","17","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D350","pva","18","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D350","pva","19","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D350","pva","20","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"D350","pva","21","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"D350","pva","22","VL_COFINS","Valor da COFINS","N","","2",""
"D350","pva","23","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D359","pva","1","REG","Texto fixo contendo “D359”","C","004","",""
"D359","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D359","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D500","pva","1","REG","Texto fixo contendo “D500”","C","004","","OC"
"D500","pva","2","IND_OPER","Indicador do tipo de operação","C","001*","","O"
"D500","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001*","","O"
"D500","pva","4","COD_PART","Código do participante prestador do serviço (campo 02 do Registro 0150)","C","060","","O"
"D500","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D500","pva","6","COD_SIT","Çódigo da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","","O"
"D500","pva","7","SER","Série do documento fiscal","C","004","",""
"D500","pva","8","SUB","Subsérie do documento fiscal","N","003","",""
"D500","pva","9","NUM_DOC","Número do documento fiscal","N","009","","O"
"D500","pva","10","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"D500","pva","11","DT_A_P","Data da entrada (aquisição)","D","008*","","O"
"D500","pva","12","VL_DOC","Valor total do documento fiscal","N","","2","O"
"D500","pva","13","VL_DESC","Valor total do desconto","N","","2",""
"D500","pva","14","VL_SERV","Valor da prestação de serviços","N","","2","O"
"D500","pva","15","VL_SERV_NT","Valor total dos serviços não-tributados pelo ICMS","N","","2",""
"D500","pva","16","VL_TERC","Valores cobrados em nome de terceiros","N","","2",""
"D500","pva","17","VL_DA","Valor de outras despesas indicadas no documento fiscal","N","","2",""
"D500","pva","18","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2",""
"D500","pva","19","VL_ICMS","Valor do ICMS","N","","2",""
"D500","pva","20","COD_INF","Código da informação complementar (campo 02 do Registro 0450)","C","006","",""
"D500","pva","21","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D500","pva","22","VL_COFINS","Valor da COFINS","N","","2",""
"D500","pva","23","CHV_DOC_E","Chave do Documento Fiscal Eletrônico","N","044*","",""
"D501","pva","1","REG","Texto fixo contendo “D501”","C","004","",""
"D501","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D501","pva","3","VL_ITEM","Valor Total dos Itens  (Serviços)","N","","2","O"
"D501","pva","4","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"D501","pva","5","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D501","pva","6","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D501","pva","7","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D501","pva","8","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D505","pva","1","REG","Texto fixo contendo “D505”","C","004","",""
"D505","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D505","pva","3","VL_ITEM","Valor Total dos Itens","N","","2","O"
"D505","pva","4","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"D505","pva","5","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D505","pva","6","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D505","pva","7","VL_COFINS","Valor da COFINS","N","","2",""
"D505","pva","8","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D509","pva","1","REG","Texto fixo contendo “D509”","C","004","",""
"D509","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D509","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D600","pva","1","REG","Texto fixo contendo “D600”","C","004","","OC"
"D600","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D600","pva","3","COD_MUN","Código do município dos terminais faturados, conforme a tabela IBGE","N","007*","",""
"D600","pva","4","SER","Série do documento fiscal","C","004","",""
"D600","pva","5","SUB","Subsérie do documento fiscal","N","003","",""
"D600","pva","6","IND_REC","Indicador do tipo de receita","N","001*","","O"
"D600","pva","7","QTD_CONS","Quantidade de documentos consolidados neste registro","N","","",""
"D600","pva","8","DT_DOC_INI","Data Inicial dos documentos consolidados","D","008*","","O"
"D600","pva","9","DT_DOC_FIN","Data Final dos documentos consolidados","D","008*","","O"
"D600","pva","10","VL_DOC","Valor total acumulado dos documentos fiscais","N","","2","O"
"D600","pva","11","VL_DESC","Valor acumulado dos descontos","N","","2",""
"D600","pva","12","VL_SERV","Valor acumulado das prestações de serviços tributados pelo ICMS","N","","2","O"
"D600","pva","13","VL_SERV_NT","Valor acumulado dos serviços não-tributados pelo ICMS","N","","2",""
"D600","pva","14","VL_TERC","Valores cobrados em nome de terceiros","N","","2",""
"D600","pva","15","VL_DA","Valor acumulado das despesas acessórias","N","","2",""
"D600","pva","16","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS","N","","2",""
"D600","pva","17","VL_ICMS","Valor acumulado do ICMS","N","","2",""
"D600","pva","18","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D600","pva","19","VL_COFINS","Valor da COFINS","N","","2",""
"D601","pva","1","REG","Texto fixo contendo “D601”","C","004","",""
"D601","pva","2","COD_CLASS","Código de classificação do item do serviço de comunicação ou de telecomunicação, conforme a Tabela 4.4.1","N","004*","","O"
"D601","pva","3","VL_ITEM","Valor acumulado do item","N","","2","O"
"D601","pva","4","VL_DESC","Valor acumulado dos descontos","N","","2",""
"D601","pva","5","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D601","pva","6","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D601","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D601","pva","8","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D601","pva","9","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D605","pva","1","REG","Texto fixo contendo “D605”","C","004","",""
"D605","pva","2","COD_CLASS","Código de classificação do item do serviço de comunicação ou de telecomunicação, conforme a Tabela 4.4.1","N","004*","","O"
"D605","pva","3","VL_ITEM","Valor acumulado do item","N","","2","O"
"D605","pva","4","VL_DESC","Valor acumulado dos descontos","N","","2",""
"D605","pva","5","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D605","pva","6","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D605","pva","7","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D605","pva","8","VL_COFINS","Valor da COFINS","N","","2",""
"D605","pva","9","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D609","pva","1","REG","Texto fixo contendo “D609”","C","004","",""
"D609","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D609","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D990","pva","1","REG","Texto fixo contendo “D990”","C","004","",""
"D990","pva","2","QTD_LIN_D","Quantidade total de linhas do Bloco D","N","","","O"
"F001","pva","1","REG","Texto fixo contendo F001","C","004*","","O"
"F001","pva","2","IND_MOV","Indicador de movimento:0- Bloco com dados informados;1- Bloco sem dados informados","C","001","","O"
"F010","pva","1","REG","Texto fixo contendo F010","C","004","",""
"F010","pva","2","CNPJ","Número de inscrição do estabelecimento no CNPJ","N","014*","","O"
"F100","pva","1","REG","Texto fixo contendo F100","C","004","","OC"
"F100","pva","2","IND_OPER","Indicador do Tipo da Operação","C","001*","","O"
"F100","pva","3","COD_PART","Código do participante (Campo 02 do Registro 0150)","C","060","",""
"F100","pva","4","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","",""
"F100","pva","5","DT_OPER","Data da Operação (ddmmaaaa)","D","008*","","O"
"F100","pva","6","VL_OPER","Valor da Operação","N","","2","O"
"F100","pva","7","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3 (IN RFB nº 1.009, de 2010)","N","002*","","O"
"F100","pva","8","VL_BC_PIS","Base de Cálculo do PIS/Pasep","N","","4",""
"F100","pva","9","ALIQ_PIS","Alíquota do PIS/Pasep","N","008","4",""
"F100","pva","10","VL_PIS","Valor do PIS/Pasep","N","","2",""
"F100","pva","11","CST_COFINS","Código da Situação Tributária referente a COFINS, conforme a Tabela indicada no item 4.3.4 (IN RFB nº 1.009, de 2010)","N","002*","","O"
"F100","pva","12","VL_BC_COFINS","Base de Cálculo da COFINS","N","","4",""
"F100","pva","13","ALIQ_COFINS","Alíquota da COFINS","N","008","4",""
"F100","pva","14","VL_COFINS","Valor da COFINS","N","","2",""
"F100","pva","15","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7 (Lei nº 12.058/09. art. 35).","C","002","",""
"F100","pva","16","IND_ORIG_CRED","Indicador da origem do crédito","C","001*","",""
"F100","pva","17","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"F100","pva","18","COD_CCUS","Código do Centro de Custos","C","255","",""
"F100","pva","19","DESC_DOC_OPER","Descrição do Documento/Operação","C","","",""
"F111","pva","1","REG","Texto fixo contendo F111","C","004","",""
"F111","pva","2","NUM_PROC","Identificação do processo ou ato concessório.","C","020","","O"
"F111","pva","3","IND_PROC","Indicador da origem do processo.","C","001*","","O"
"F120","pva","1","REG","Texto fixo contendo F120","C","004","","OC"
"F120","pva","2","NAT_BC_CRED","Código da Base de Cálculo do Crédito sobre Bens Incorporados ao Ativo Imobilizado, conforme a Tabela indicada no item 4.3.7","C","002","","O"
"F120","pva","3","IDENT_BEM_IMOB","Identificação dos Bens Incorporados ao Ativo Imobilizado","N","002*","","O"
"F120","pva","4","IND_ORIG_CRED","Indicador da origem do bem incorporado ao ativo imobilizado, gerador de crédito","C","001*","",""
"F120","pva","5","IND_UTIL_BEM_IMOB","Indicador da Utilização dos Bens Incorporados ao Ativo Imobilizado","N","001*","","O"
"F120","pva","6","VL_OPER_DEP","Valor do Encargo de Depreciação/Amortização Incorrido no Período","N","","2","O"
"F120","pva","7","PARC_OPER_NAO_BC_CRED","Parcela do Valor do Encargo de Depreciação/Amortização a excluir da base de cálculo de Crédito","N","","2",""
"F120","pva","8","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3","N","002*","","O"
"F120","pva","9","VL_BC_PIS","Base de Cálculo do Crédito de PIS/Pasep no período (06 - 07)","N","","2",""
"F120","pva","10","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"F120","pva","11","VL_PIS","Valor do Crédito de PIS/Pasep","N","","2",""
"F120","pva","12","CST_COFINS","Código da Situação Tributária referente a COFINS, conforme a Tabela indicada no item 4.3.4","N","002*","","O"
"F120","pva","13","VL_BC_COFINS","Base de Cálculo do Crédito da COFINS no período","N","","2",""
"F120","pva","14","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"F120","pva","15","VL_COFINS","Valor do Crédito da COFINS","N","","2",""
"F120","pva","16","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"F120","pva","17","COD_CCUS","Código do Centro de Custos","C","255","",""
"F120","pva","18","DESC_BEM_IMOB","Descrição complementar do bem ou grupo de bens, com crédito apurado com base nos encargos de depreciação ou amortização.","C","","",""
"F129","pva","1","REG","Texto fixo contendo F129","C","004","",""
"F129","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"F129","pva","3","IND_PROC","Indicador da origem do processo.","C","001*","","O"
"F130","pva","1","REG","Texto fixo contendo F130","C","004","","OC"
"F130","pva","2","NAT_BC_CRED","Texto fixo contendo 10 Código da Base de Cálculo do Crédito sobre Bens Incorporados ao Ativo Imobilizado, conforme a Tabela indicada no item 4.3.7.","C","002","","O"
"F130","pva","3","IDENT_BEM_IMOB","Identificação dos Bens Incorporados ao Ativo Imobilizado: 01 = Edificações e Benfeitorias; 03 = Instalações; 04 = Máquinas; 05 = Equipamentos; 06 = Veículos; 99 = Outras Situações","N","002*","","O"
"F130","pva","4","IND_ORIG_CRED","Indicador da origem do bem incorporado ao ativo imobilizado, gerador de crédito: 0 - Aquisição no Mercado Interno 1 - Aquisição no Mercado Externo (Importação)","C","001*","",""
"F130","pva","5","IND_UTIL_BEM_IMOB","Indicador da Utilização dos Bens Incorporados ao Ativo Imobilizado: 1 - Produção de Bens Destinados a Venda; 2 - Prestação de Serviços; 3 - Locação a Terceiros; 9 - Outros.","N","001*","","O"
"F130","pva","6","MES_OPER_AQUIS","Mês/Ano de Aquisição dos Bens Incorporados ao Ativo Imobilizado, com apuração de crédito com base no valor de aquisição.","N","006*","",""
"F130","pva","7","VL_OPER_AQUIS","Valor de Aquisição dos Bens Incorporados ao Ativo Imobilizado - Crédito com base no valor de aquisição.","N","","2","O"
"F130","pva","8","PARC_OPER_NAO_BC_CRED","Parcela do Valor de Aquisição a excluir da base de cálculo de Crédito","N","","2",""
"F130","pva","9","VL_BC_CRED","Valor da Base de Cálculo do Crédito sobre Bens Incorporados ao Ativo Imobilizado (07 - 08)","N","","2","O"
"F130","pva","10","IND_NR_PARC","Indicador do Número de Parcelas a serem apropriadas (Crédito sobre Valor de Aquisição): 1 - Integral (Mês de Aquisição); 2 - 12 Meses; 3 - 24 Meses; 4 - 48 Meses; 5 - Outra periodicidade definida em Lei.","N","001*","","O"
"F130","pva","11","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3","N","002*","","O"
"F130","pva","12","VL_BC_PIS","Base de cálculo Mensal do Crédito de PIS/Pasep, conforme indicador informado no campo 10.","N","","2",""
"F130","pva","13","ALIQ_PIS","Alíquota do PIS/Pasep","N","008","4",""
"F130","pva","14","VL_PIS","Valor do Crédito de PIS/Pasep","N","","2",""
"F130","pva","15","CST_COFINS","Código da Situação Tributária referente a COFINS, conforme a Tabela indicada no item 4.3.4","N","002*","","O"
"F130","pva","16","VL_BC_COFINS","Base de Cálculo Mensal do Crédito da COFINS, conforme indicador informado no campo 10.","N","","2",""
"F130","pva","17","ALIQ_COFINS","Alíquota da COFINS","N","008","4",""
"F130","pva","18","VL_COFINS","Valor do crédito da COFINS","N","","2",""
"F130","pva","19","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"F130","pva","20","COD_CCUS","Código do Centro de Custos","C","255","",""
"F130","pva","21","DESC_BEM_IMOB","Descrição complementar do bem ou grupo de bens, com crédito apurado com base no valor de aquisição.","C","","",""
"F139","pva","1","REG","Texto fixo contendo F139","C","004","",""
"F139","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"F139","pva","3","IND_PROC","Indicador da origem do processo.","C","001*","","O"
"F150","pva","1","REG","Texto fixo contendo F150","C","004","","OC"
"F150","pva","2","NAT_BC_CRED","Texto fixo contendo 18 Código da Base de Cálculo do Crédito sobre Estoque de Abertura, conforme a Tabela indicada no item 4.3.7.","C","002*","","O"
"F150","pva","3","VL_TOT_EST","Valor Total do Estoque de Abertura","N","","2","O"
"F150","pva","4","EST_IMP","Parcela do estoque de abertura referente a bens, produtos e mercadorias importados, ou adquiridas no mercado interno sem direito ao crédito","N","","2",""
"F150","pva","5","VL_BC_EST","Valor da Base de Cálculo do Crédito sobre o Estoque de Abertura (03 - 04)","N","","2","O"
"F150","pva","6","VL_BC_MEN_EST","Valor da Base de Cálculo Mensal do Crédito sobre o Estoque de Abertura (1/12 avos do campo 05)","N","","2","O"
"F150","pva","7","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3","N","002*","","O"
"F150","pva","8","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4","O"
"F150","pva","9","VL_CRED_PIS","Valor Mensal do Crédito Presumido Apurado -  PIS/Pasep  (06 x 08)","N","","2","O"
"F150","pva","10","CST_COFINS","Código da Situação Tributária referente ao COFINS, conforme a Tabela indicada no item 4.3.4","N","002*","","O"
"F150","pva","11","ALIQ_COFINS","Alíquota do COFINS (em percentual)","N","008","4","O"
"F150","pva","12","VL_CRED_COFINS","Valor Mensal do Crédito Presumido Apurado -  COFINS (06 x 11)","N","","2","O"
"F150","pva","13","DESC_EST","Descrição do estoque","C","100","",""
"F150","pva","14","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"F200","pva","1","REG","Texto fixo contendo F200","C","004","","OC"
"F200","pva","2","IND_OPER","Indicador do Tipo da Operação","N","002*","","O"
"F200","pva","3","UNID_IMOB","Indicador do tipo de unidade imobiliária Vendida.","N","002*","","O"
"F200","pva","4","IDENT_EMP","Identificação/Nome do Empreendimento","C","","","O"
"F200","pva","5","DESC_UNID_IMOB","Descrição Resumida da Unidade Imobiliária Vendida","C","090","",""
"F200","pva","6","NUM_CONT","Número do Contrato de Venda da Unidade Imobiliária","C","090","",""
"F200","pva","7","CPF_CNPJ_ADQU","Identificação da pessoa  física (CPF) ou da pessoa jurídica (CNPJ) adquirente da unidade imobiliária","C","014","","O"
"F200","pva","8","DT_OPER","Data da operação de venda da Unidade Imobiliária","D","008*","","O"
"F200","pva","9","VL_TOT_VEND","Valor total da unidade imobiliária vendida","N","","2",""
"F200","pva","10","VL_REC_ACUM","Valor recebido, acumulado até o mês anterior ao da escrituração.","N","","2",""
"F200","pva","11","VL_TOT_REC","Valor total recebido no mês da escrituração","N","","2","O"
"F200","pva","12","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3 (IN RFB nº 1.009, de 2010)","N","002*","","O"
"F200","pva","13","VL_BC_PIS","Base de Cálculo do PIS/Pasep","N","","2",""
"F200","pva","14","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"F200","pva","15","VL_PIS","Valor do PIS/Pasep","N","","2",""
"F200","pva","16","CST_COFINS","Código da Situação Tributária referente a COFINS, conforme a Tabela indicada no item 4.3.4 (IN RFB nº 1.009, de 2010)","N","002*","","O"
"F200","pva","17","VL_BC_COFINS","Base de Cálculo da COFINS","N","","2",""
"F200","pva","18","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"F200","pva","19","VL_COFINS","Valor da COFINS","N","","2",""
"F200","pva","20","PERC_REC_RECEB","Percentual da receita total recebida até o mês, da unidade imobiliária vendida ((Campo 10 + Campo 11) / Campo 09)","N","006","2",""
"F200","pva","21","IND_NAT_EMP","Indicador da Natureza Específica do Empreendimento","N","001*","",""
"F200","pva","22","INF_COMP","Informações Complementares","C","090","",""
"F205","pva","1","REG","Texto fixo contendo “F205”","C","004","","OC"
"F205","pva","2","VL_CUS_INC_ACUM_ANT","Valor Total do Custo Incorrido da unidade imobiliária acumulado até o mês anterior ao da escrituração","N","","2","O"
"F205","pva","3","VL_CUS_INC_PER_ESC","Valor Total do Custo Incorrido da unidade imobiliária no mês da escrituração","N","","2","O"
"F205","pva","4","VL_CUS_INC_ACUM","Valor Total do Custo Incorrido da unidade imobiliária acumulado até o mês da escrituração (Campo 02 + 03)","N","","2","O"
"F205","pva","5","VL_EXC_BC_CUS_INC_ACUM","Parcela do Custo Incorrido sem direito ao crédito da atividade imobiliária, acumulado até o período","N","","2","O"
"F205","pva","6","VL_BC_CUS_INC","Valor da Base de Cálculo do Crédito sobre o Custo Incorrido, acumulado até o período da escrituração (Campo 04 - 05)","N","","2","O"
"F205","pva","7","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3","N","002*","","O"
"F205","pva","8","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4","O"
"F205","pva","9","VL_CRED_PIS_ACUM","Valor Total do Crédito Acumulado sobre o custo incorrido - PIS/Pasep (Campo 06 x 08)","N","","2","O"
"F205","pva","10","VL_CRED_PIS_DESC_ANT","Parcela do crédito descontada até o período anterior da escrituração – PIS/Pasep (proporcional à receita recebida até o mês anterior)","N","","2","O"
"F205","pva","11","VL_CRED_PIS_DESC","Parcela a descontar no período da escrituração  – PIS/Pasep (proporcional à receita recebida no mês)","N","","2","O"
"F205","pva","12","VL_CRED_PIS_DESC_FUT","Parcela a descontar em períodos futuros - PIS/Pasep (Campo 09 - 10 - 11)","N","","2","O"
"F205","pva","13","CST_COFINS","Código da Situação Tributária referente ao COFINS, conforme a Tabela indicada no item 4.3.4","N","002*","","O"
"F205","pva","14","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4","O"
"F205","pva","15","VL_CRED_COFINS_ACUM","Valor Total do Crédito Acumulado sobre o custo incorrido - COFINS (Campo 06 x 14)","N","","2","O"
"F205","pva","16","VL_CRED_COFINS_DESC_ANT","Parcela do crédito descontada até o período anterior da escrituração - COFINS (proporcional à receita recebida até o mês anterior)","N","","2","O"
"F205","pva","17","VL_CRED_COFINS_DESC","Parcela a descontar no período da escrituração - COFINS (proporcional à receita recebida no mês)","N","","2","O"
"F205","pva","18","VL_CRED_COFINS_DESC_FUT","Parcela a descontar em períodos futuros - COFINS (Campo 15 - 16 - 17)","N","","2","O"
"F210","pva","1","REG","Texto fixo contendo F210","C","004","","OC"
"F210","pva","2","VL_CUS_ORC","Valor Total do Custo Orçado para Conclusão da Unidade Vendida","N","","2","O"
"F210","pva","3","VL_EXC","Valores Referentes a Pagamentos a Pessoas Físicas, Encargos Trabalhistas, Sociais e Previdenciários e à aquisição de bens e serviços não sujeitos ao pagamento das contribuições","N","","2","O"
"F210","pva","4","VL_CUS_ORC_AJU","Valor da Base de Calculo do Crédito sobre o Custo Orçado Ajustado (Campo 02 - 03).","N","","2","O"
"F210","pva","5","VL_BC_CRED","Valor da Base de Cálculo do Crédito sobre o Custo Orçado no Período","N","","2","O"
"F210","pva","6","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3.","N","002*","","O"
"F210","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
