"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"0450","pva","3","TXT","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo","C","","","O"
"0500","pva","1","REG","Texto fixo contendo “0500”","C","004*","",""
"0500","pva","2","DT_ALT","Data da inclusão/alteração","D","008*","","O"
"0500","pva","3","COD_NAT_CC","Código da natureza da conta/grupo de contas","C","002*","","O"
"0500","pva","4","IND_CTA","Indicador do tipo de conta","C","001*","","O"
"0500","pva","5","NIVEL","Nível da conta analítica/grupo de contas","N","005","","O"
"0500","pva","6","COD_CTA","Código da conta analítica/grupo de contas","C","255","","O"
"0500","pva","7","NOME_CTA","Nome da conta analítica/grupo de contas","C","060","","O"
"0500","pva","8","COD_CTA_REF","Código da conta correlacionada no Plano de Contas Referenciado, publicado pela RFB","C","255","",""
"0500","pva","9","CNPJ_EST","CNPJ do estabelecimento, no caso da conta informada no campo COD_CTA ser específica de um estabelecimento","C","014*","",""
"0600","pva","1","REG","Texto fixo contendo “0600”","C","004*","",""
"0600","pva","2","DT_ALT","Data da inclusão/alteração","D","008*","","O"
"0600","pva","3","COD_CCUS","Código do centro de custos","C","255","","O"
"0600","pva","4","CCUS","Nome do centro de custos","C","060","","O"
"0900","pva","1","REG","Texto fixo contendo “0900”","C","004*","","OC"
"0900","pva","2","REC_TOTAL_BLOCO_A","Receita total referente aos registros escriturados no Bloco A","N","","2","O"
"0900","pva","3","REC_NRB_BLOCO_A","Parcela da receita total escriturada no Bloco A (Campo 02) não classificada como receita bruta","N","","2",""
"0900","pva","4","REC_TOTAL_BLOCO_C","Receita total referente aos registros escriturados no Bloco C","N","","2","O"
"0900","pva","5","REC_NRB_BLOCO_C","Parcela da receita total escriturada no Bloco C (Campo 04) não classificada como receita bruta","N","","2",""
"0900","pva","6","REC_TOTAL_BLOCO_D","Receita total referente aos registros escriturados no Bloco D","N","","2","O"
